sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu
400011,28,66151,317,0.8391167192429022,1.0
609958,55,29121,652,0.7760736196319018,0.9447852760736196
400049,30,67071,447,0.8456375838926175,0.9865771812080537
400147,74,63141,208,0.7451923076923077,0.9807692307692307
609682,59,53051,273,0.8644688644688645,0.9413919413919414
609737,13,47081,1635,0.6422018348623854,0.653211009174312
609804,20,22271,732,0.755464480874317,0.5
609821,48,22431,423,0.817966903073286,0.9905437352245863
610046,19,24281,1053,0.7787274453941121,0.9097815764482431
610107,25,24791,325,0.796923076923077,0.9107692307692308
609920,32,29071,418,0.8516746411483254,1.0
609922,19,26771,499,0.6693386773547094,0.9799599198396793
609926,37,29081,367,0.4114441416893733,0.6566757493188011
609935,49,29091,614,0.8175895765472313,0.9853420195439739
609944,52,23361,302,0.695364238410596,0.9039735099337748
609976,76,23621,877,0.7046750285062714,0.6225769669327252
609981,53,23671,319,0.7523510971786834,0.9717868338557993
609997,66,23831,120,0.8,0.9916666666666667
610110,1,24811,286,0.7237762237762237,0.8566433566433567
610192,24,25521,562,0.798932384341637,0.9679715302491103
610304,29,55011,455,0.8835164835164835,0.9538461538461539
610148,59,25151,814,0.8513513513513513,0.9926289926289926
610167,59,25301,451,0.8536585365853658,0.9822616407982262
610182,13,25431,341,0.41348973607038125,0.2404692082111437
610230,12,25881,467,0.16059957173447537,0.24197002141327623
610219,49,25771,633,0.6951026856240127,0.9415481832543444
610231,34,32031,755,0.5774834437086093,0.7867549668874172
610246,7,29321,1046,0.6510516252390057,0.982791586998088
610252,29,26031,252,0.7579365079365079,0.9880952380952381
610269,31,26201,313,0.7156549520766773,0.7284345047923323
610559,55,27091,444,0.9346846846846847,0.9977477477477478
610548,29,22711,396,0.37373737373737376,0.5656565656565656
610594,25,69618,142,0.8732394366197183,0.9577464788732394
400107,42,66563,412,0.7912621359223301,0.9927184466019418
610036,26,24151,378,0.791005291005291,0.9814814814814815
610542,20,22381,627,0.7256778309409888,0.34609250398724084
610005,30,23901,192,0.7604166666666666,0.984375
609693,24,53071,1194,0.7696817420435511,0.8802345058626466
400146,26,0,607,0.8088962108731467,0.9341021416803954
610157,61,25231,1031,0.8457807953443259,0.9709020368574199
609979,58,0,1221,0.7346437346437347,0.1760851760851761
609964,59,23511,542,0.8247232472324724,0.9797047970479705
610541,22,22341,639,0.8137715179968701,0.9546165884194053
609850,57,22661,314,0.7452229299363057,0.8630573248407644
610213,9,25711,480,0.71875,0.9770833333333333
610141,57,25061,536,0.28171641791044777,0.3694029850746269
