,school_name,lea_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,match_id,num_student,max_score,teachers_per_100_stu,help_per_100_stu,salary_per_teach
172,ASPIRA Charter - Early College Prep HS,City of Chicago SD 299,30.0,2.0,1.0,1.0,1576839,400013.0,262,0.855,11.450381679389313,1.5267175572519083,52561.3
542,Catalyst Charter-Circle Rock ES,City of Chicago SD 299,32.0,0.0,2.0,1.0,1670272,400021.0,510,0.835,6.2745098039215685,0.5882352941176471,52196.0
678,CICS - Avalon/South Shore,City of Chicago SD 299,31.0,0.0,0.5,0.5,348443,400023.0,461,1.0,6.724511930585683,0.21691973969631237,11240.09677419355
679,CICS - Basil Campus,City of Chicago SD 299,55.0,0.0,1.0,0.5,895384,400024.0,488,0.93,11.270491803278688,0.3073770491803279,16279.709090909091
681,CICS - Bucktown Campus,City of Chicago SD 299,50.0,1.0,1.0,1.0,1723176,400025.0,626,0.94,7.987220447284344,0.4792332268370607,34463.52
684,CICS - Loomis Primary Campus,City of Chicago SD 299,29.0,1.0,0.0,0.0,1720964,400026.0,352,0.9199999999999999,8.238636363636363,0.2840909090909091,59343.58620689655
682,CICS - Irving Park Campus,City of Chicago SD 299,29.0,0.0,1.0,1.0,1324155,400027.0,532,0.94,5.451127819548872,0.37593984962406013,45660.51724137931
686,CICS - Prairie Campus,City of Chicago SD 299,24.0,0.0,1.0,0.0,1038135,400028.0,402,0.93,5.970149253731343,0.24875621890547264,43255.625
689,CICS - Washington Pk Campus,City of Chicago SD 299,29.0,0.0,0.5,0.5,532808,400029.0,504,0.94,5.753968253968254,0.1984126984126984,18372.689655172413
690,CICS - West Belden Campus,City of Chicago SD 299,35.0,1.0,1.0,1.0,1418574,400030.0,543,0.94,6.445672191528545,0.5524861878453038,40530.68571428571
691,CICS - Wrightwood,City of Chicago SD 299,34.0,0.0,1.0,0.5,1636182,400031.0,635,1.0,5.354330708661418,0.23622047244094488,48123.0
688,CICS - Ralph Ellison Campus,City of Chicago SD 299,17.0,0.0,0.5,0.5,784568,400032.0,205,0.905,8.292682926829269,0.4878048780487805,46151.05882352941
683,CICS - Longwood Campus,City of Chicago SD 299,63.0,1.0,1.0,0.5,3427087,400033.0,1241,0.94,5.07655116841257,0.201450443190975,54398.206349206346
685,CICS - Northtown  Campus,City of Chicago SD 299,64.0,2.0,2.0,0.5,2357776,400034.0,891,0.935,7.182940516273851,0.5050505050505051,36840.25
649,Chicago Math & Sci Elem Charter,City of Chicago SD 299,48.0,2.0,0.4,0.2,1611375,400035.0,601,0.88,7.9866888519134775,0.4326123128119801,33570.3125
1727,Hope Learning Academy,City of Chicago SD 299,39.0,1.0,1.0,1.0,665594,400043.0,238,0.935,16.386554621848738,1.2605042016806722,17066.51282051282
3085,Perspectives Chtr - Leadership Acad,City of Chicago SD 299,49.0,0.0,1.95,0.0,1146355,400061.0,643,0.88,7.620528771384137,0.30326594090202175,23395.0
3084,Perspectives Chtr - Joslin Campus,City of Chicago SD 299,39.0,0.0,5.0,2.26,904148,400064.0,365,0.865,10.684931506849315,1.989041095890411,23183.28205128205
3082,Perspectives Chtr -  IIT Campus,City of Chicago SD 299,54.0,0.0,2.0,0.0,1076768,400066.0,407,0.855,13.267813267813267,0.4914004914004914,19940.14814814815
3214,Providence-Englewood Elem Charter,City of Chicago SD 299,36.0,1.0,1.0,0.0,1753012,400071.0,423,0.85,8.51063829787234,0.4728132387706856,48694.77777777778
3971,Urban Prep Chtr Acad Englewood HS,City of Chicago SD 299,23.0,1.0,0.5,0.5,730642,400086.0,155,0.835,14.838709677419354,1.2903225806451613,31767.043478260868
680,CICS - Bond Campus,City of Chicago SD 299,15.0,0.0,0.0,0.0,824272,400092.0,254,0.88,5.905511811023622,0.0,54951.46666666667
3970,Urban Prep Chtr Acad Bronzeville HS,City of Chicago SD 299,17.0,4.0,0.3,0.3,855859,400105.0,218,0.835,7.79816513761468,2.110091743119266,50344.64705882353
2143,LEARN Chtr - South Chicago Campus,City of Chicago SD 299,31.0,4.0,0.0,0.0,1238475,400107.0,412,0.855,7.524271844660194,0.9708737864077669,39950.8064516129
541,Catalyst Charter - Maria ES,City of Chicago SD 299,78.0,2.0,2.0,1.0,3909536,400115.0,552,0.865,14.130434782608695,0.9057971014492754,50122.256410256414
4380,YCCS-Scholastic Achievement HS,City of Chicago SD 299,7.0,1.0,0.0,0.0,253009,400123.0,102,0.885,6.862745098039216,0.9803921568627451,36144.142857142855
4368,YCCS- McKinley-Lakeside Leadership Academy,City of Chicago SD 299,10.0,1.0,0.0,0.0,322390,400124.0,66,0.865,15.151515151515152,1.5151515151515151,32239.0
4370,YCCS-ASPIRA Pantoja Alt HS,City of Chicago SD 299,9.0,0.0,0.0,0.0,119316,400125.0,158,0.855,5.69620253164557,0.0,13257.333333333334
4371,YCCS-Association House,City of Chicago SD 299,9.0,1.0,0.0,0.0,180208,400126.0,72,0.96,12.5,1.3888888888888888,20023.11111111111
4373,YCCS-CCA Academy HS,City of Chicago SD 299,8.0,1.0,0.0,0.0,166527,400128.0,90,0.95,8.88888888888889,1.1111111111111112,20815.875
4379,YCCS-Progressive Leadership Academy,City of Chicago SD 299,4.0,1.0,0.0,0.0,364928,400129.0,130,0.935,3.076923076923077,0.7692307692307693,91232.0
4374,YCCS-Community Youth Dev Inst HS,City of Chicago SD 299,7.0,0.0,0.0,0.0,267391,400130.0,59,0.875,11.864406779661017,0.0,38198.71428571428
4369,YCCS-Albizu Campos Puerto Rican HS,City of Chicago SD 299,14.0,1.0,0.0,0.0,266448,400131.0,97,0.86,14.432989690721648,1.0309278350515463,19032.0
4375,YCCS-Innovations of Arts Integr HS,City of Chicago SD 299,14.0,1.0,0.0,0.0,535292,400133.0,455,0.88,3.076923076923077,0.21978021978021978,38235.142857142855
4378,YCCS-Olive Harvey Mid College HS,City of Chicago SD 299,7.0,0.0,0.0,0.0,359031,400136.0,83,0.895,8.433734939759036,0.0,51290.142857142855
2296,Little Black Pearl Arts Acad HS,City of Chicago SD 299,8.0,0.0,1.0,1.0,527102,400137.0,83,0.9,9.63855421686747,2.4096385542168677,65887.75
4382,YCCS-Truman Middle College HS,City of Chicago SD 299,15.0,1.0,0.0,0.0,730733,400141.0,172,0.9099999999999999,8.720930232558139,0.5813953488372093,48715.53333333333
