,Year,Grade,Average Attendance
0,2003,Pre-K,84.27
1,2003,Elementary School (K-5),93.845
2,2003,Middle School (6-8),93.23
3,2003,High School (9-12),85.815
4,2004,Pre-K,84.13
5,2004,Elementary School (K-5),94.115
6,2004,Middle School (6-8),93.61
7,2004,High School (9-12),86.03
8,2005,Pre-K,80.72
9,2005,Elementary School (K-5),91.93
10,2005,Middle School (6-8),93.64
11,2005,High School (9-12),85.09
12,2010,Pre-K,82.96
13,2010,Elementary School (K-5),94.4
14,2010,Middle School (6-8),94.43
15,2010,High School (9-12),83.25
16,2015,Pre-K,88.72
17,2015,Elementary School (K-5),94.72
18,2015,Middle School (6-8),94.81
19,2015,High School (9-12),85.63
20,2018,Pre-K,89.26
21,2018,Elementary School (K-5),95.02
22,2018,Middle School (6-8),94.85
23,2018,High School (9-12),83.99
24,2019,Pre-K,89.02
25,2019,Elementary School (K-5),94.48
26,2019,Middle School (6-8),95.23
27,2019,High School (9-12),84.65
28,2021,Pre-K,85.35
29,2021,Elementary School (K-5),91.36
30,2021,Middle School (6-8),92.62
31,2021,High School (9-12),76.74
32,2022,Pre-K,82.62
33,2022,Elementary School (K-5),88.69
34,2022,Middle School (6-8),89.96
35,2022,High School (9-12),76.78
