,School ID,School Name,School Network,School Year,Time Period,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",% of Unique Students Receiving ISS,% of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification
38,610513,AIR FORCE HS,Military,2013-2014,EOY,67.5,6.2,23.4,3.9
40,610513,AIR FORCE HS,Service Leadership Academies,2014-2015,EOY,12.6,10.0,16.4,1.4
42,610513,AIR FORCE HS,Service Leadership Academies,2015-2016,EOY,23.2,9.2,10.5,6.1
44,610513,AIR FORCE HS,Network 6,2016-2017,EOY,56.4,6.0,11.0,3.4
46,610513,AIR FORCE HS,Network 6,2017-2018,EOY,61.7,13.1,4.9,7.4
48,610513,AIR FORCE HS,Network 16,2018-2019,EOY,45.2,5.6,3.6,7.1
50,610513,AIR FORCE HS,Network 16,2019-2020,EOY,16.3,3.1,0.5,0.0
52,610513,AIR FORCE HS,Network 16,2021-2022,EOY,23.6,5.4,1.2,0.0
85,610524,ALCOTT HS,Network 4,2013-2014,EOY,74.1,7.0,10.3,1.2
87,610524,ALCOTT HS,Network 4,2014-2015,EOY,105.9,6.4,6.0,0.0
89,610524,ALCOTT HS,Network 4,2015-2016,EOY,96.0,15.1,6.9,2.0
91,610524,ALCOTT HS,Network 4,2016-2017,EOY,69.0,2.5,1.9,3.4
93,610524,ALCOTT HS,Network 4,2017-2018,EOY,24.5,16.0,3.7,0.0
95,610524,ALCOTT HS,Network 4,2018-2019,EOY,52.2,12.3,3.2,0.7
97,610524,ALCOTT HS,Network 15,2019-2020,EOY,97.5,9.9,7.3,2.5
99,610524,ALCOTT HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
101,610524,ALCOTT HS,Network 15,2021-2022,EOY,47.4,4.9,13.7,0.0
124,609780,AMES,Network 4,2013-2014,EOY,51.9,1.5,11.2,0.4
126,609695,AMUNDSEN HS,Network 2,2013-2014,EOY,63.8,4.8,5.6,39.6
128,609695,AMUNDSEN HS,Network 2,2014-2015,EOY,85.6,23.1,7.0,12.5
130,609695,AMUNDSEN HS,Network 2,2015-2016,EOY,63.0,8.5,4.4,19.6
132,609695,AMUNDSEN HS,Network 2,2016-2017,EOY,77.9,13.9,5.4,12.0
134,609695,AMUNDSEN HS,ISP,2017-2018,EOY,86.4,7.4,4.8,29.0
136,609695,AMUNDSEN HS,ISP,2018-2019,EOY,96.5,13.2,4.6,8.0
138,609695,AMUNDSEN HS,ISP,2019-2020,EOY,77.3,5.9,1.8,14.8
140,609695,AMUNDSEN HS,ISP,2021-2022,EOY,43.3,4.0,1.8,1.9
254,610518,AUSTIN CCA HS,Network 3,2016-2017,EOY,12.4,2.3,13.9,7.2
256,610518,AUSTIN CCA HS,Network 3,2017-2018,EOY,68.5,58.5,10.6,8.1
258,610518,AUSTIN CCA HS,Network 15,2018-2019,EOY,58.3,36.3,19.4,3.8
260,610518,AUSTIN CCA HS,Network 15,2019-2020,EOY,49.2,5.0,13.3,4.2
262,610518,AUSTIN CCA HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
264,610518,AUSTIN CCA HS,Network 15,2021-2022,EOY,42.5,13.3,13.3,3.7
314,610563,BACK OF THE YARDS HS,Network 8,2013-2014,EOY,100.0,1.8,2.2,9.1
316,610563,BACK OF THE YARDS HS,Network 8,2014-2015,EOY,96.0,0.6,3.5,28.0
318,610563,BACK OF THE YARDS HS,Network 8,2015-2016,EOY,68.5,0.3,4.1,1.9
320,610563,BACK OF THE YARDS HS,Network 8,2016-2017,EOY,75.4,0.1,3.8,5.3
322,610563,BACK OF THE YARDS HS,ISP,2017-2018,EOY,56.1,0.1,4.4,0.0
324,610563,BACK OF THE YARDS HS,ISP,2018-2019,EOY,37.3,0.0,3.1,0.0
326,610563,BACK OF THE YARDS HS,ISP,2019-2020,EOY,3.6,0.0,0.1,3.6
328,610563,BACK OF THE YARDS HS,ISP,2021-2022,EOY,93.6,0.0,3.5,8.5
587,609698,BOGAN HS,OS4,2013-2014,EOY,97.1,45.7,23.1,0.4
589,609698,BOGAN HS,OS4,2014-2015,EOY,88.5,26.5,10.5,0.8
591,609698,BOGAN HS,Network 10,2015-2016,EOY,89.7,29.9,11.0,0.2
593,609698,BOGAN HS,Network 10,2016-2017,EOY,85.0,26.4,10.2,0.4
595,609698,BOGAN HS,Network 10,2017-2018,EOY,79.5,14.5,11.4,4.0
597,609698,BOGAN HS,Network 16,2018-2019,EOY,48.3,5.1,13.4,0.5
599,609698,BOGAN HS,Network 16,2019-2020,EOY,30.2,1.9,9.8,9.7
601,609698,BOGAN HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
603,609698,BOGAN HS,Network 16,2021-2022,EOY,34.6,8.5,19.4,2.2
657,610323,BOWEN HS,OS4,2013-2014,EOY,105.4,83.8,64.7,1.8
659,610323,BOWEN HS,OS4,2014-2015,EOY,102.7,97.5,43.1,1.9
661,610323,BOWEN HS,Network 12,2015-2016,EOY,92.2,96.3,41.4,0.7
663,610323,BOWEN HS,Network 12,2016-2017,EOY,96.2,73.8,14.4,0.3
665,610323,BOWEN HS,Network 12,2017-2018,EOY,89.7,74.9,13.7,1.0
667,610323,BOWEN HS,Network 17,2018-2019,EOY,81.1,57.8,5.9,0.6
669,610323,BOWEN HS,Network 17,2019-2020,EOY,51.6,13.2,3.0,5.4
671,610323,BOWEN HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
673,610323,BOWEN HS,Network 17,2021-2022,EOY,46.0,14.6,6.8,8.8
795,610381,BRONZEVILLE HS,OS4,2013-2014,EOY,89.6,24.1,36.7,1.4
797,610381,BRONZEVILLE HS,OS4,2014-2015,EOY,86.9,25.9,23.7,0.6
799,610381,BRONZEVILLE HS,Network 9,2015-2016,EOY,92.3,43.6,16.2,6.5
801,610381,BRONZEVILLE HS,Network 9,2016-2017,EOY,87.4,12.8,29.2,7.4
803,610381,BRONZEVILLE HS,Network 9,2017-2018,EOY,58.8,15.5,20.8,11.7
805,610381,BRONZEVILLE HS,Network 17,2018-2019,EOY,76.1,35.8,38.2,3.9
807,610381,BRONZEVILLE HS,Network 17,2019-2020,EOY,47.0,10.8,11.7,4.5
809,610381,BRONZEVILLE HS,Network 17,2021-2022,EOY,46.2,1.6,6.5,0.0
812,609726,BROOKS HS,Network 13,2013-2014,EOY,25.8,0.1,4.4,2.6
814,609726,BROOKS HS,Network 13,2014-2015,EOY,13.5,3.1,2.7,0.0
816,609726,BROOKS HS,ISP,2015-2016,EOY,31.1,7.7,5.2,0.7
818,609726,BROOKS HS,Network 13,2016-2017,EOY,30.2,3.7,3.6,0.0
820,609726,BROOKS HS,Network 13,2017-2018,EOY,81.9,5.0,3.1,0.0
822,609726,BROOKS HS,Network 17,2018-2019,EOY,77.3,3.5,3.5,0.9
824,609726,BROOKS HS,Network 17,2019-2020,EOY,35.9,2.0,2.0,0.9
825,609726,BROOKS HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
827,609726,BROOKS HS,ISP,2021-2022,EOY,33.8,0.4,1.9,15.5
1059,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2016-2017,EOY,0.0,0.0,0.0,0.0
1061,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2018-2019,EOY,33.3,0.0,0.5,0.0
1063,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2019-2020,EOY,100.0,0.0,0.4,0.0
1065,400147,CAMELOT - EXCEL HS,Options,2017-2018,EOY,0.0,0.0,0.0,0.0
1066,400147,CAMELOT - EXCEL HS,Options,2018-2019,EOY,0.0,0.0,0.0,33.3
1068,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2016-2017,EOY,0.0,0.0,0.0,3.8
1070,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2017-2018,EOY,0.0,0.0,0.0,0.0
1072,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2018-2019,EOY,0.0,0.0,0.0,0.0
1074,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2019-2020,EOY,0.0,0.0,0.0,0.0
1076,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2016-2017,EOY,100.0,0.0,5.8,12.5
1077,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2017-2018,EOY,66.7,4.6,2.8,8.3
1079,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2018-2019,EOY,0.0,0.0,0.0,0.0
1081,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2019-2020,EOY,75.9,1.0,20.8,34.5
1082,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2020-2021,EOY,0.0,0.0,0.0,0.0
1094,610573,CAMELOT SAFE ACADEMY HS,Options,2013-2014,EOY,20.0,0.0,9.4,0.0
1096,610573,CAMELOT SAFE ACADEMY HS,Options,2014-2015,EOY,0.0,0.0,0.0,0.0
1101,610573,CAMELOT SAFE HS,Options,2015-2016,EOY,0.0,0.0,0.0,0.0
1103,610573,CAMELOT SAFE HS,Options,2016-2017,EOY,0.0,0.0,0.0,0.0
