,crime_class,Year,Attendance
0,Low,2013,83.76822916666667
1,Low,2014,84.96691176470588
2,Low,2015,84.87934782608696
3,Low,2016,85.83188405797102
4,Low,2017,82.99166666666667
5,Low,2018,83.68728813559322
6,Low,2019,84.68682432432432
7,Low,2021,74.65210526315789
8,Low,2022,74.91352813852815
9,Medium,2013,87.41074297188756
10,Medium,2014,87.9994131455399
11,Medium,2015,87.93655913978495
12,Medium,2016,86.27925925925926
13,Medium,2017,83.90899122807018
14,Medium,2018,85.328125
15,Medium,2019,83.42675438596491
16,Medium,2021,77.91711711711712
17,Medium,2022,77.09592592592593
18,High,2013,88.01479166666667
19,High,2014,87.54450354609928
20,High,2015,87.21029411764707
21,High,2016,85.19379432624113
22,High,2017,84.5822695035461
23,High,2018,86.20866666666667
24,High,2019,86.23092948717948
25,High,2021,79.93819444444445
26,High,2022,78.42844202898551
