,school_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,match_id,teachers_per_100_stu,help_per_100_stu,salary_per_teach,Student Attendance Rate,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Teacher Retention Rate
0,ASPIRA Charter - Early College Prep HS,30.0,2.0,1.0,1.0,1576839,400013.0,11.450381679389311,1.5267175572519085,52561.3,85.9,1.6,59.8,0.0,0.0
1,Catalyst Charter-Circle Rock ES,32.0,0.0,2.0,1.0,1670272,400021.0,6.2745098039215685,0.5882352941176471,52196.0,,,,,
2,CICS - Avalon/South Shore,31.0,0.0,0.5,0.5,348443,400023.0,6.724511930585683,0.2169197396963123,11240.09677419355,,,,,
3,CICS - Basil Campus,55.0,0.0,1.0,0.5,895384,400024.0,11.270491803278688,0.3073770491803279,16279.709090909091,,,,,
4,CICS - Bucktown Campus,50.0,1.0,1.0,1.0,1723176,400025.0,7.987220447284344,0.4792332268370607,34463.52,,,,,
5,CICS - Loomis Primary Campus,29.0,1.0,0.0,0.0,1720964,400026.0,8.238636363636363,0.2840909090909091,59343.58620689655,,,,,
6,CICS - Irving Park Campus,29.0,0.0,1.0,1.0,1324155,400027.0,5.451127819548872,0.3759398496240601,45660.51724137931,,,,,
7,CICS - Prairie Campus,24.0,0.0,1.0,0.0,1038135,400028.0,5.970149253731343,0.2487562189054726,43255.625,,,,,
8,CICS - Washington Pk Campus,29.0,0.0,0.5,0.5,532808,400029.0,5.753968253968254,0.1984126984126984,18372.689655172413,,,,,
9,CICS - West Belden Campus,35.0,1.0,1.0,1.0,1418574,400030.0,6.445672191528545,0.5524861878453038,40530.68571428571,,,,,
10,CICS - Wrightwood,34.0,0.0,1.0,0.5,1636182,400031.0,5.354330708661418,0.2362204724409448,48123.0,,,,,
11,CICS - Ralph Ellison Campus,17.0,0.0,0.5,0.5,784568,400032.0,8.292682926829269,0.4878048780487805,46151.05882352941,80.2,5.1,68.4,2.0,0.0
