GEOID,GEOG,CCVI_Score,CCVI_Cat,2000_POP,2020_POP,2020_HH,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,MEDINC,INCPERCAP,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,highly_walkable_pop_pct,highly_walkable_emp_pct
47,Burnside,58.4,HIGH,3294,2527,1036,2180,50.02293578,55,156,1938,0,31,1092,918,174,39351.85185,26586.8078,703.2846715,761,104,231,716,702,276,1,1
48,Calumet Heights,46.1,MEDIUM,15974,13088,5518,12343,49.43205394,108,543,11533,8,151,6033,5604,429,57420.14742,35883.58973,1078.001969,4787,657,669,4685,4608,771,1,1
37,Fuller Park,50.1,HIGH,3420,2567,1140,2232.313253,47.44558016,112.1807229,145.6024096,1933.13253,10.39759036,31,773.7915194,589.0895171,184.7020024,17216.78622,14738.4235,561.3246104,805.0570825,217.0169133,357.435518,771.0570825,681.0570825,391.435518,1,1
34,Armour Square,30.9,LOW,12032,13890,5648,13438.84426,46.4571369,1878.122951,751.0737705,1197.540984,9496.106557,116,6308.502832,5863.828057,444.6747751,37122.66529,24901.0311,698.4822407,4360.266762,831.9629101,1107.577746,4175.924394,4075.924394,1291.920114,1,1
45,Avalon Park,44.2,MEDIUM,11147,9458,4145,9596.682362,45.12512307,80,0,9090.682362,129,297,4665.305128,3931.394551,733.9105769,54418.51813,29200.1494,931.5121958,3130.823755,459,918.8659004,3014.823755,2834.823755,1034.8659,1,1
72,Beverly,27.4,LOW,21992,20027,7691,19817,44.04398955,11126,1179,6562,194,756,10411,9792,619,110018.1598,55810.52955,936.5771812,7193,180,197,7001,6888,389,0.96185567,0.987568157
75,Morgan Park,43.3,MEDIUM,25226,21186,8175,20534.30293,43.63474981,6242.948365,911.0843373,12608.27022,86,686,10090.73144,9017.141349,1073.590089,64137.0976,34941.99834,1164.315793,7225.453532,758.7843866,801.5947955,6814.29368,6559.29368,1212.754647,1,1
17,Dunning,36,MEDIUM,42164,43147,15746,43587,42.66814304,26028,14005,909,2207,438,24106,22999,1052,74525.7732,33822.48294,1101.5625,14042,1065,1844,12993,12443,2893,0.982360533,0.997059784
50,Pullman,46.4,MEDIUM,8921,6820,2995,7131,42.59615385,857,307,5732,5,230,4040,3404,636,48056.72269,27871.22101,921.7603912,3056,341,261,2903,2565,414,0.918649868,0.344509948
12,Forest Glen,18.9,LOW,18165,19596,7021,19928,42.42987606,14719,2627,111,2038,433,10133,9637,496,129516.6403,59038.73344,1250,6697,188,385,6605,6327,477,0.902734051,0.979762068
