,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
0,12971610,JG139177,2023-02-02T23:53:00.000,086XX S STONY ISLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),False,False,0412,004,8,45,11,1188315,1847809,2023,2023-02-09T15:48:39.000,41.737462708,-87.585645433,"{'latitude': '41.737462708', 'longitude': '-87.585645433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,41,133,35,61,19,240
1,12971402,JG138871,2023-02-02T23:40:00.000,081XX S OGLESBY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0414,004,8,46,08B,1193266,1851542,2023,2023-02-09T15:48:39.000,41.747586916,-87.567384931,"{'latitude': '41.747586916', 'longitude': '-87.567384931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,507,37,25,19,222
2,12971506,JG138862,2023-02-02T23:40:00.000,008XX E 84TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,0632,006,8,44,08A,1183190,1849464,2023,2023-02-09T15:48:39.000,41.742124859,-87.604370432,"{'latitude': '41.742124859', 'longitude': '-87.604370432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,141,35,61,20,241
3,12975768,JG139441,2023-02-02T23:22:00.000,068XX S DANTE AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,SIDEWALK,False,False,0332,003,5,43,03,1187140,1859935,2023,2023-02-09T15:48:39.000,41.770765531,-87.589566181,"{'latitude': '41.770765531', 'longitude': '-87.589566181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,39,416,33,60,18,212
4,12971576,JG139028,2023-02-02T23:04:00.000,054XX S MORGAN ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE,False,False,0934,009,20,61,15,1170566,1868906,2023,2023-02-09T15:48:39.000,41.795760253,-87.65005855,"{'latitude': '41.795760253', 'longitude': '-87.65005855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,14924,59,791,4,37,23,127
5,12971379,JG138854,2023-02-02T23:00:00.000,013XX S THROOP ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1233,012,25,28,08B,1167921,1893766,2023,2023-02-09T15:48:39.000,41.864035852,-87.659042335,"{'latitude': '41.864035852', 'longitude': '-87.659042335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14920,29,96,26,43,15,150
6,12971596,JG139079,2023-02-02T23:00:00.000,067XX S WESTERN AVE,0810,THEFT,OVER $500,STREET,False,False,0832,008,17,66,06,1161537,1859867,2023,2023-02-09T15:48:39.000,41.771148178,-87.683418941,"{'latitude': '41.771148178', 'longitude': '-87.683418941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,22257,64,370,31,23,13,207
7,12971407,JG138875,2023-02-02T23:00:00.000,060XX S MORGAN ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,0712,007,16,68,06,1170677,1864849,2023,2023-02-09T15:48:39.000,41.784624964,-87.649769796,"{'latitude': '41.784624964', 'longitude': '-87.649769796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21559,66,22,2,11,17,261
8,12971494,JG138033,2023-02-02T23:00:00.000,075XX S INDIANA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,0623,006,6,69,14,1178902,1855062,2023,2023-02-09T15:48:39.000,41.757585017,-87.619911415,"{'latitude': '41.757585017', 'longitude': '-87.619911415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,475,32,61,20,228
9,12971523,JG139033,2023-02-02T23:00:00.000,032XX W PIERCE AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,1422,014,26,23,07,1154376,1910114,2023,2023-02-09T15:48:39.000,41.909177556,-87.708328527,"{'latitude': '41.909177556', 'longitude': '-87.708328527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,4299,24,455,49,5,7,190
10,12971844,JG139512,2023-02-02T23:00:00.000,069XX S CRANDON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0331,003,5,43,07,1192521,1859491,2023,2023-02-09T15:48:39.000,41.769417774,-87.569856281,"{'latitude': '41.769417774', 'longitude': '-87.569856281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,142,33,24,18,262
11,12971580,JG139104,2023-02-02T23:00:00.000,014XX S ASHLAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,1233,012,28,28,08A,1165961,1893018,2023,2023-02-09T15:48:39.000,41.862025293,-87.666258728,"{'latitude': '41.862025293', 'longitude': '-87.666258728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14920,29,96,23,43,15,150
