,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
0,12975280,JG143569,2023-02-04T23:59:00.000,084XX S ESCANABA AVE,0810,THEFT,OVER $500,STREET,False,False,0423,004,10,46,06,1196950,1849667,2023,2023-02-11T15:47:38.000,41.74235099,-87.553948172,"{'latitude': '41.74235099', 'longitude': '-87.553948172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,42,226,47,25,19,238
1,12973157,JG141046,2023-02-04T23:59:00.000,048XX W BYRON ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1634,016,45,15,08A,1143435,1925483,2023,2023-02-11T15:47:38.000,41.951563335,-87.748135867,"{'latitude': '41.951563335', 'longitude': '-87.748135867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,22618,15,360,50,21,12,26
2,12973204,JG141038,2023-02-04T23:55:00.000,021XX W CULLOM AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1911,019,47,5,03,1161121,1928528,2023,2023-02-11T15:47:38.000,41.959569191,-87.683037324,"{'latitude': '41.959569191', 'longitude': '-87.683037324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21538,46,623,18,39,5,10
3,12973679,JG141719,2023-02-04T23:49:00.000,030XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0914,009,11,60,14,1171460,1884820,2023,2023-02-11T15:47:38.000,41.839410287,-87.646313633,"{'latitude': '41.839410287', 'longitude': '-87.646313633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,58,59,48,43,23,162
4,12973154,JG141028,2023-02-04T23:47:00.000,004XX S KEDZIE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1134,011,28,27,15,1155109,1897796,2023,2023-02-11T15:47:38.000,41.875361105,-87.705966667,"{'latitude': '41.875361105', 'longitude': '-87.705966667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,28,765,23,30,16,140
5,12979366,JG141025,2023-02-04T23:35:00.000,030XX N CICERO AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,2521,025,31,19,08B,,,2023,2023-02-11T15:47:38.000,,,,,,,,,,,
6,12973174,JG141041,2023-02-04T23:33:00.000,030XX N PARKSIDE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,2514,025,31,19,15,1138175,1919647,2023,2023-02-11T15:47:38.000,41.935645688,-87.767613392,"{'latitude': '41.935645688', 'longitude': '-87.767613392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22254,19,82,17,52,6,177
7,12973196,JG141071,2023-02-04T23:30:00.000,027XX S LAWNDALE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,True,False,1031,010,22,30,26,1152146,1885611,2023,2023-02-11T15:47:38.000,41.841982955,-87.717166779,"{'latitude': '41.841982955', 'longitude': '-87.717166779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,32,227,28,57,21,166
8,12973247,JG141016,2023-02-04T23:30:00.000,096XX S HALSTED ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,2223,022,21,73,08A,1172677,1840886,2023,2023-02-11T15:47:38.000,41.718823567,-87.643141787,"{'latitude': '41.718823567', 'longitude': '-87.643141787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21861,72,593,13,13,9,243
9,12973185,JG141024,2023-02-04T23:30:00.000,100XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL / MOTEL,False,False,2232,022,34,73,14,1172749,1838296,2023,2023-02-11T15:47:38.000,41.711714647,-87.642954141,"{'latitude': '41.711714647', 'longitude': '-87.642954141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,72,593,22,19,9,253
10,12973251,JG141146,2023-02-04T23:30:00.000,033XX S HALSTED ST,0820,THEFT,$500 AND UNDER,STREET,False,False,0913,009,11,60,06,1171517,1882645,2023,2023-02-11T15:47:38.000,41.833440642,-87.64616832,"{'latitude': '41.833440642', 'longitude': '-87.64616832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,58,171,48,40,23,170
11,12973402,JG141276,2023-02-04T23:30:00.000,058XX N BROADWAY,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,2013,020,48,77,14,1167250,1938957,2023,2023-02-11T15:47:38.000,41.988056849,-87.660203231,"{'latitude': '41.988056849', 'longitude': '-87.660203231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,4451,76,13,16,14,2,42
12,12977446,JG146126,2023-02-04T23:30:00.000,047XX S GREENWOOD AVE,0810,THEFT,OVER $500,STREET,False,False,0222,002,4,39,06,1184377,1873903,2023,2023-02-11T15:47:38.000,41.809160011,-87.599256982,"{'latitude': '41.809160011', 'longitude': '-87.599256982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,21192,5,399,10,10,24,113
13,12973221,JG141013,2023-02-04T23:25:00.000,053XX W DIVERSEY AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,2514,025,31,19,04B,1140253,1918097,2023,2023-02-11T15:47:38.000,41.931354447,-87.760014586,"{'latitude': '41.931354447', 'longitude': '-87.760014586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22615,19,303,17,21,6,177
14,12973150,JG141034,2023-02-04T23:24:00.000,065XX S CLAREMONT AVE,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,0832,008,16,66,18,1161867,1861265,2023,2023-02-11T15:47:38.000,41.774977636,-87.682170473,"{'latitude': '41.774977636', 'longitude': '-87.682170473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,22257,64,370,2,23,13,207
15,12973188,JG141032,2023-02-04T23:18:00.000,113XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2234,022,34,75,08B,1170695,1829367,2023,2023-02-11T15:47:38.000,41.687257014,-87.650735585,"{'latitude': '41.687257014', 'longitude': '-87.650735585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22212,74,663,22,13,9,263
16,12973191,JG141005,2023-02-04T23:15:00.000,0000X W 71ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0731,007,6,69,08B,1176970,1857910,2023,2023-02-11T15:47:38.000,41.765444001,-87.626906181,"{'latitude': '41.765444001', 'longitude': '-87.626906181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,67,494,32,11,17,210
17,12973167,JG141026,2023-02-04T23:15:00.000,046XX N MAGNOLIA AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,True,True,1913,019,46,3,04B,1167080,1930935,2023,2023-02-11T15:47:38.000,41.966047906,-87.661060061,"{'latitude': '41.966047906', 'longitude': '-87.661060061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,611,39,15,5,6
18,12973129,JG141000,2023-02-04T23:10:00.000,063XX N ALBANY AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,2413,024,50,2,04A,1154538,1941873,2023,2023-02-11T15:47:38.000,41.996323135,-87.706880604,"{'latitude': '41.996323135', 'longitude': '-87.706880604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,4450,20,30,27,50,11,52
19,12973281,JG141019,2023-02-04T23:05:00.000,086XX S EXCHANGE AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,False,False,0423,004,10,46,15,1197312,1848195,2023,2023-02-11T15:47:38.000,41.738302703,-87.552670759,"{'latitude': '41.738302703', 'longitude': '-87.552670759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,42,226,47,25,19,238
20,12974643,JG142823,2023-02-04T23:05:00.000,052XX W IRVING PARK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1624,016,38,15,14,1140655,1926091,2023,2023-02-11T15:47:38.000,41.953283377,-87.758340234,"{'latitude': '41.953283377', 'longitude': '-87.758340234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22618,15,260,50,21,12,26
21,12977690,JG143937,2023-02-04T23:00:00.000,001XX W 111TH ST,1020,ARSON,BY FIRE,MEDICAL / DENTAL OFFICE,False,False,0513,005,34,49,09,1177281,1831346,2023,2023-02-11T15:47:38.000,41.692541949,-87.626565735,"{'latitude': '41.692541949', 'longitude': '-87.626565735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,45,660,22,19,10,267
22,12975367,JG143720,2023-02-04T23:00:00.000,061XX W BERTEAU AVE,0810,THEFT,OVER $500,STREET,False,False,1624,016,38,15,06,1134850,1927284,2023,2023-02-11T15:47:38.000,41.956661982,-87.779651892,"{'latitude': '41.956661982', 'longitude': '-87.779651892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22254,15,131,19,52,12,15
23,12973330,JG141213,2023-02-04T23:00:00.000,012XX W 87TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,False,False,0613,006,21,71,07,1169400,1847086,2023,2023-02-11T15:47:38.000,41.735908739,-87.654965372,"{'latitude': '41.735908739', 'longitude': '-87.654965372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,533,13,59,9,244
24,12973837,JG141670,2023-02-04T23:00:00.000,051XX S WOLCOTT AVE,0810,THEFT,OVER $500,STREET,False,False,0932,009,16,61,06,1164552,1870649,2023,2023-02-11T15:47:38.000,41.800672314,-87.672063022,"{'latitude': '41.800672314', 'longitude': '-87.672063022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,14924,59,767,2,37,23,128
25,12973235,JG141062,2023-02-04T23:00:00.000,090XX S WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2221,022,19,72,14,1161951,1844636,2023,2023-02-11T15:47:38.000,41.729343428,-87.682323796,"{'latitude': '41.729343428', 'longitude': '-87.682323796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,22212,,627,,,,
26,12973576,JG141292,2023-02-04T23:00:00.000,016XX W 51ST ST,0325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,0931,009,20,61,03,1166453,1870897,2023,2023-02-11T15:47:38.000,41.801312511,-87.665084355,"{'latitude': '41.801312511', 'longitude': '-87.665084355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,14924,59,789,2,37,23,128
27,12973498,JG141425,2023-02-04T23:00:00.000,006XX E 44TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,0221,002,4,38,06,1181424,1875985,2023,2023-02-11T15:47:38.000,41.814941888,-87.61002363,"{'latitude': '41.814941888', 'longitude': '-87.61002363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,4,161,10,36,24,114
28,12975391,JG142516,2023-02-04T23:00:00.000,002XX N KOSTNER AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,1114,011,28,26,08B,1147024,1900783,2023,2023-02-11T15:47:38.000,41.883716109,-87.735575499,"{'latitude': '41.883716109', 'longitude': '-87.735575499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,732,23,30,16,90
29,12973596,JG141489,2023-02-04T23:00:00.000,013XX N LAKE SHORE DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1824,018,43,8,07,1176893,1909576,2023,2023-02-11T15:47:38.000,41.907221245,-87.625628157,"{'latitude': '41.907221245', 'longitude': '-87.625628157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,14926,37,308,34,54,14,197
30,12973125,JG140993,2023-02-04T23:00:00.000,051XX S KEDZIE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0822,008,14,63,24,1155912,1870472,2023,2023-02-11T15:47:38.000,41.80036463,-87.703753695,"{'latitude': '41.80036463', 'longitude': '-87.703753695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,61,776,8,56,13,129
31,12973263,JG140996,2023-02-04T22:55:00.000,050XX N WINTHROP AVE,0460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,2033,020,48,3,08B,1167955,1933907,2023,2023-02-11T15:47:38.000,41.974184283,-87.657756697,"{'latitude': '41.974184283', 'longitude': '-87.657756697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,22616,31,634,16,15,2,14
32,12973137,JG141002,2023-02-04T22:55:00.000,016XX W HOWARD ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,True,False,2422,024,49,1,18,1163767,1950346,2023,2023-02-11T15:47:38.000,42.019382941,-87.672690712,"{'latitude': '42.019382941', 'longitude': '-87.672690712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,489,5,9,11,32
33,12973138,JG141004,2023-02-04T22:52:00.000,076XX N BOSWORTH AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,True,False,2422,024,49,1,26,1164635,1950521,2023,2023-02-11T15:47:38.000,42.019844715,-87.669491587,"{'latitude': '42.019844715', 'longitude': '-87.669491587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,340,5,9,11,32
34,12973240,JG141023,2023-02-04T22:50:00.000,072XX S EUCLID AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0333,003,5,43,08B,1190293,1857437,2023,2023-02-11T15:47:38.000,41.763835413,-87.578089074,"{'latitude': '41.763835413', 'longitude': '-87.578089074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,452,33,24,18,89
