,School_ID_x,Short_Name,Zip,Lat,Long,GeoNetwork,COMMAREA,WARD_15,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu,bus_count,pre_cov_att,post_cov_att,att_diff_pp,School_ID_y,match_score,teachers,teachers_per_100stu,help_fte_per_100stu,dolla_per_student,salary_per_teacher
0,400013,ASPIRA - EARLY COLLEGE HS,60618,41.93729829,-87.72709566,4,AVONDALE,30,22,66254,262,0.8625954198473282,1.0,3,90.425,85.1125,5.312500000000014,,,,,,18543.84351145038,
1,400022,CHIARTS HS,60622,41.89937657,-87.69494501,5,WEST TOWN,26,25,63051,598,0.520066889632107,0.7290969899665551,4,96.7,94.6875,2.012500000000003,,,,,,12102.051839464883,
2,400032,CICS - ELLISON HS,60620,41.74838241,-87.66897964,11,AUBURN GRESHAM,17,70,66072,205,0.8634146341463415,0.9951219512195122,4,88.5875,80.275,8.3125,400032.0,0.95,17.0,26.15384615384616,1.5384615384615383,15125.024390243903,46151.05882352941
3,400033,CICS - LONGWOOD,60643,41.72122143,-87.65576813,11,WASHINGTON HEIGHTS,21,72,66061,1241,0.7832393231265109,0.991941982272361,2,88.3375,79.4,8.9375,400033.0,0.94,63.0,96.92307692307692,3.8461538461538463,14972.80741337631,54398.206349206346
4,400034,CICS - NORTHTOWN HS,60659,41.99024501,-87.72650426,1,NORTH PARK,39,13,66241,891,0.77665544332211,0.6790123456790124,2,93.975,93.7625,0.2125000000000056,400034.0,0.93,64.0,98.46153846153848,6.923076923076923,15730.901234567902,36840.25
5,400035,CHICAGO MATH & SCIENCE HS,60626,42.01303149,-87.67481842,2,ROGERS PARK,49,10,66281,601,0.8252911813643927,0.7986688851913477,1,95.1875,94.4625,0.7249999999999943,,,,,,14658.430948419302,
6,400051,NOBLE - NOBLE HS,60642,41.90019052,-87.66262778,6,WEST TOWN,2,25,66141,652,0.7868098159509203,0.9539877300613496,3,94.45,77.1,17.349999999999994,,,,,,15826.789877300613,
7,400052,NOBLE - COMER,60619,41.76525228,-87.60416375,12,GREATER GRAND CROSSING,5,67,66146,1020,0.7549019607843137,0.9823529411764704,3,92.4125,81.8125,10.599999999999994,,,,,,16870.620588235295,
8,400053,NOBLE - GOLDER HS,60642,41.89528219,-87.664483,6,WEST TOWN,27,25,66145,643,0.7900466562986003,0.9626749611197511,3,92.3625,72.6375,19.72500000000001,400053.0,0.9,35.0,53.84615384615385,19.07692307692308,15561.486780715397,50975.57142857143
9,400054,NOBLE - PRITZKER HS,60639,41.91521411,-87.73012671,4,HERMOSA,35,21,66142,968,0.9008264462809916,0.9803719008264464,3,94.65,86.7875,7.862500000000011,400054.0,0.9,50.0,76.92307692307693,20.307692307692307,14885.478305785124,47809.14
