,pre_cov_att,post_cov_att,pre_att_bucket,post_att_bucket,att_diff_pp
0,90.425,85.1125,high,high,5.312500000000014
1,96.7,94.6875,high,high,2.012500000000003
2,88.5875,80.275,high,low,8.3125
3,88.3375,79.4,high,low,8.9375
4,93.975,93.7625,high,high,0.2125000000000056
5,95.1875,94.4625,high,high,0.7249999999999943
6,94.45,77.1,high,low,17.349999999999994
7,92.4125,81.8125,high,low,10.599999999999994
8,92.3625,72.6375,high,low,19.72500000000001
9,94.65,86.7875,high,high,7.862500000000011
10,93.0625,80.30000000000001,high,low,12.762499999999989
11,89.76249999999999,72.5375,high,low,17.224999999999994
12,93.0375,83.175,high,high,9.862499999999995
13,94.15,79.0125,high,low,15.137500000000005
14,94.15,79.0125,high,low,15.137500000000005
15,94.1875,74.8125,high,low,19.375
16,91.4875,81.5,high,low,9.987499999999995
17,91.125,79.5875,high,low,11.537499999999994
18,93.2,79.19999999999999,high,low,14.000000000000014
19,89.55000000000001,73.6,high,low,15.950000000000015
20,94.55,88.80000000000001,high,high,5.75
21,95.25,89.6,high,high,5.650000000000006
22,92.9625,84.3,high,high,8.662500000000009
23,91.9,81.425,high,low,10.475000000000009
24,92.025,84.92500000000001,high,high,7.099999999999994
25,92.2875,79.9375,high,low,12.349999999999994
26,93.225,80.76249999999999,high,low,12.462500000000006
27,94.8125,80.8125,high,low,14.0
28,87.5625,88.4,low,high,-0.8375000000000057
29,87.51249999999999,69.825,low,low,17.687499999999986
30,94.9375,90.6625,high,high,4.275000000000006
31,92.0375,78.9,high,low,13.137499999999989
32,87.3375,60.8875,low,low,26.450000000000003
33,87.3375,60.8875,low,low,26.450000000000003
34,86.15,77.67500000000001,low,low,8.474999999999994
35,92.9125,84.1375,high,high,8.774999999999991
36,62.016666666666666,69.9,low,low,-7.88333333333334
37,62.48333333333333,55.366666666666674,low,low,7.11666666666666
38,51.28333333333334,52.35,low,low,-1.0666666666666558
39,78.7875,82.9,low,high,-4.112500000000011
40,83.15,89.25,low,high,-6.099999999999994
41,60.88333333333334,62.96666666666667,low,low,-2.0833333333333286
42,59.266666666666666,47.016666666666666,low,low,12.25
43,79.6625,68.2,low,low,11.462499999999991
44,87.75,84.2,low,high,3.549999999999997
45,69.19999999999999,56.1,low,low,13.099999999999987
46,93.0125,74.23750000000001,high,low,18.774999999999977
47,90.25,74.2875,high,low,15.962500000000006
48,90.95,78.44999999999999,high,low,12.500000000000014
49,93.425,90.4625,high,high,2.9624999999999915
50,94.08333333333334,93.4,high,high,0.6833333333333371
51,93.825,82.625,high,high,11.199999999999989
52,93.025,80.0625,high,low,12.962500000000006
53,72.275,65.375,low,low,6.900000000000006
54,74.7125,71.8125,low,low,2.9000000000000057
55,73.01666666666667,64.85,low,low,8.166666666666671
56,87.675,76.9375,low,low,10.737499999999995
57,85.075,68.7625,low,low,16.3125
58,92.2,90.1375,high,high,2.0625
59,88.35,83.625,high,high,4.724999999999994
60,92.45,91.7375,high,high,0.7124999999999773
61,78.0875,70.8125,low,low,7.275000000000006
62,88.275,80.425,high,low,7.850000000000008
63,87.1625,79.9,low,low,7.262499999999989
64,91.675,85.0375,high,high,6.637500000000003
65,91.525,92.55,high,high,-1.0250000000000057
66,90.9625,84.375,high,high,6.587500000000006
67,86.8125,74.375,low,low,12.4375
68,86.5875,70.3375,low,low,16.25
69,87.38749999999999,66.5625,low,low,20.82499999999999
70,84.95,73.775,low,low,11.174999999999995
71,89.6125,77.6875,high,low,11.924999999999995
72,82.55000000000001,70.26249999999999,low,low,12.287500000000025
73,78.325,64.45,low,low,13.875
74,86.82499999999999,79.0375,low,low,7.787499999999994
75,90.0375,78.15,high,low,11.887499999999989
76,81.61250000000001,85.3375,low,high,-3.7249999999999934
77,89.15,81.19999999999999,high,low,7.950000000000017
78,86.6625,78.1875,low,low,8.474999999999994
79,93.0125,92.0125,high,high,0.9999999999999858
80,75.45,60.5,low,low,14.950000000000005
81,75.55,60.8,low,low,14.749999999999991
82,88.775,82.57499999999999,high,high,6.200000000000017
83,83.42500000000001,74.7625,low,low,8.662500000000009
84,88.9,87.55,high,high,1.3500000000000083
85,82.3125,59.825,low,low,22.4875
