,School_ID,match_score,teachers,teachers_per_100stu,help_fte_per_100stu,teacher_salary
Academy for Global Citizenship,400009,0.93,31.0,47.69230769230769,1.6923076923076925,1378000
Acero Chtr Sch Network - Octavio Paz Campus,400083,0.92,22.0,33.84615384615385,1.2307692307692308,954329
Acero Chtr Sch Network - Officer Donald J Marquez Campus,400089,0.91,34.0,52.307692307692314,1.5384615384615385,1207803
Acero Chtr Sch Network - PFC Omar E Torres Campus,400080,0.9,31.0,47.69230769230769,1.2307692307692308,1359238
Air Force Acad High School,610513,0.98,25.0,38.46153846153847,3.076923076923077,1527069
Albany Park Multicultural Elem,610212,0.96,19.0,29.230769230769234,1.5384615384615385,1033877
Ariel Elem Community Academy,609951,0.91,30.0,46.15384615384615,1.5384615384615385,1505762
Ashburn Community Elem School,610287,0.97,31.0,47.69230769230769,1.5384615384615385,2035323
Asian Human Services -Passage Chrtr,400060,0.94,42.0,64.61538461538461,1.2307692307692308,1476945
Austin College and Career Academy High School,610518,1.0,19.0,29.230769230769234,1.5384615384615385,992578
Avalon Park Elem School,609786,0.96,15.0,23.076923076923077,1.5384615384615385,1000843
Avondale - Logandale Elementary School,610325,0.93,41.0,63.07692307692307,1.5384615384615385,2687584
Back of The Yards IB HS,610563,1.0,75.0,115.38461538461537,6.153846153846154,3922879
Belmont-Cragin Elem School,609922,0.96,30.0,46.15384615384615,1.5384615384615385,1800794
Blair Early Childhood Center,610087,1.0,22.0,33.84615384615385,1.5384615384615385,396996
Bogan High School,610323,0.9,56.0,86.15384615384616,3.076923076923077,2979682
Bowen High School,610323,1.0,22.0,33.84615384615385,1.5384615384615385,1113318
Bret Harte Elem School,609969,0.96,18.0,27.692307692307693,1.5384615384615385,1183777
Brighton Park Elem School,610317,0.96,26.0,40.0,1.5384615384615385,1589858
Bronzeville Scholastic HS,610381,0.92,21.0,32.30769230769231,1.5384615384615385,1216740
Burnham Elem Inclusive Academy,609821,0.91,30.0,46.15384615384615,1.5384615384615385,1614402
Burnside Elem Scholastic Academy,609827,0.91,29.0,44.61538461538462,1.5384615384615385,2054451
Catalyst Charter - Maria ES,400115,0.91,78.0,120.0,7.6923076923076925,3909536
Chicago Academy Elem School,610248,0.96,34.0,52.307692307692314,1.5384615384615385,1826114
Chicago Academy High School,610340,1.0,35.0,53.84615384615385,1.5384615384615385,1802183
Chicago Collegiate Charter School,400161,1.0,24.0,36.92307692307693,3.384615384615385,1277044
Chicago Excel Academy HS,400147,1.0,14.0,21.53846153846154,3.2,726268
Chicago Military Academy HS,609754,0.95,22.0,33.84615384615385,1.5384615384615385,1390556
Chicago Technology Academy HS,400091,0.95,23.0,35.38461538461539,2.4615384615384612,1279543
Chicago Virtual Charter School,400036,1.0,38.0,58.46153846153847,4.461538461538462,2085457
Chicago Vocational Career Acad HS,609674,0.95,56.0,86.15384615384616,6.153846153846154,2853546
Christopher House Chrt ES,400159,0.95,23.0,35.38461538461539,1.5384615384615385,1104000
CICS - Avalon/South Shore,400023,1.0,31.0,47.69230769230769,1.5384615384615385,348443
CICS - Basil Campus,400024,0.93,55.0,84.61538461538461,2.307692307692308,895384
CICS - Bucktown Campus,400025,0.94,50.0,76.92307692307693,4.615384615384616,1723176
CICS - Irving Park Campus,400027,0.94,29.0,44.61538461538462,3.076923076923077,1324155
CICS - Longwood Campus,400033,0.94,63.0,96.92307692307692,3.8461538461538463,3427087
CICS - Loomis Primary Campus,400026,0.95,29.0,44.61538461538462,1.5384615384615385,1720964
CICS - Northtown  Campus,400034,0.93,64.0,98.46153846153847,6.923076923076923,2357776
CICS - Prairie Campus,400028,0.93,24.0,36.92307692307693,1.5384615384615385,1038135
CICS - Ralph Ellison Campus,400032,0.95,17.0,26.153846153846157,1.5384615384615385,784568
CICS - Washington Pk Campus,400029,0.94,29.0,44.61538461538462,1.5384615384615385,532808
CICS - West Belden Campus,400030,0.94,35.0,53.84615384615385,4.615384615384616,1418574
CICS - Wrightwood,400031,1.0,34.0,52.307692307692314,2.307692307692308,1636182
Claremont Academy Elem School,610347,0.97,32.0,49.23076923076923,1.5384615384615385,1707175
Collins Academy High School,610499,1.0,24.0,36.92307692307693,1.5384615384615385,1104742
Columbia Explorers Elem Academy,610170,0.95,59.0,90.76923076923077,1.5384615384615385,3255449
Dewey Elem Academy of Fine Arts,609885,0.91,27.0,41.53846153846154,1.5384615384615385,983910
Disney Elem Magnet School,610515,0.93,84.0,129.23076923076923,3.076923076923077,5095809
Disney II Elem School,610515,0.94,72.0,110.76923076923077,3.076923076923077,4318348
Disney II Magnet HS,610515,0.95,72.0,110.76923076923077,3.076923076923077,4318348
Dunne Technology Acad Elem Sch,610188,0.94,14.0,21.53846153846154,1.5384615384615385,848448
Durkin Park Elem School,610352,0.96,41.0,63.07692307692307,1.5384615384615385,2579513
Dvorak Technology Acad Elem Sch,610254,0.95,24.0,36.92307692307693,1.5384615384615385,1100200
Edgebrook Elem School,609901,0.96,27.0,41.53846153846154,1.5384615384615385,1607236
Edison Park Elem School,610523,0.96,33.0,50.76923076923077,1.5384615384615385,1723694
EPIC Academy High School,400094,0.92,36.0,55.38461538461539,3.076923076923077,2145080
Erie Elem Charter School,400039,0.94,46.0,70.76923076923077,1.5384615384615385,2003516
Esmond Elem School,609908,0.95,18.0,27.692307692307693,1.5384615384615385,1024472
Evergreen Academy Elem School,610319,0.97,20.0,30.76923076923077,1.5384615384615385,1155009
Excel Academy - Englewood HS,610565,0.92,15.0,23.076923076923077,4.0,582091
Excel Academy - Southwest HS,400176,0.96,10.0,15.384615384615385,2.307692307692308,389426
Fairfield Elem Academy,610057,0.93,29.0,44.61538461538462,1.5384615384615385,1596151
Fernwood Elem School,609917,0.95,17.0,26.153846153846157,1.5384615384615385,886758
Fort Dearborn Elem School,609924,0.96,22.0,33.84615384615385,1.5384615384615385,1208575
Foster Park Elem School,609927,0.96,20.0,30.76923076923077,1.5384615384615385,914195
Foundations College Prep Charter,400171,0.91,15.0,23.076923076923077,6.000000000000001,800347
Franklin Elem Fine Arts Center,609926,0.92,24.0,36.92307692307693,1.5384615384615385,1639668
Frazier Perspectives Magnet ES,610503,0.9,19.0,29.230769230769234,1.5384615384615385,1058784
Gage Park High School,609709,1.0,26.0,40.0,1.5384615384615385,1058288
Great Lakes Academy Charter ES,400168,0.96,18.0,27.692307692307693,3.076923076923077,655686
Hanson Park Elem School,610068,0.96,93.0,143.07692307692307,1.5384615384615385,4556754
Hawthorne Elem Scholastic Academy,609974,0.91,36.0,55.38461538461539,1.5384615384615385,2349579
Hyde Park Academy High School,609713,1.0,55.0,84.61538461538461,3.076923076923077,3097214
Inter-American Elem Magnet School,610078,0.95,42.0,64.61538461538461,1.5384615384615385,2764220
Intrinsic Charter High School,400162,0.96,61.0,93.84615384615384,4.3076923076923075,3347709
Jensen Elem Scholastic Academy,610271,0.91,25.0,38.46153846153847,1.5384615384615385,1603519
Jordan Elem Community School,609865,0.93,33.0,50.76923076923077,1.5384615384615385,1672817
Kelvyn Park High School,609716,1.0,32.0,49.23076923076923,2.307692307692308,1724529
Kenwood Academy High School,609746,1.0,101.0,155.3846153846154,7.6923076923076925,6692026
KIPP Academy Chicago Campus,400146,1.0,20.0,30.76923076923077,2.307692307692308,940824
KIPP Chicago Charter School - KIPP One Academy,400163,0.95,26.0,40.0,0.0,1248482
KIPP Chicago Charters - Bloom Campus,400163,0.91,21.0,32.30769230769231,1.5384615384615385,1092071
Lake View High School,609719,1.0,89.0,136.92307692307693,7.6923076923076925,5049170
LaSalle Elem Language Academy,610033,0.92,38.0,58.46153846153847,1.5384615384615385,2400263
Lawndale Elem Community Academy,610034,0.91,16.0,24.615384615384617,1.5384615384615385,672656
Legacy Elem Charter School,400049,0.92,30.0,46.15384615384615,1.5384615384615385,2051438
Legal Prep Academy Charter HS,400119,0.93,26.0,40.0,3.076923076923077,1565627
Lincoln Park High School,609738,1.0,131.0,201.53846153846155,9.230769230769232,8871627
Little Black Pearl Arts Acad HS,400137,0.91,8.0,12.307692307692308,3.076923076923077,527102
Little Village Elem School,609834,0.96,47.0,72.3076923076923,3.076923076923077,2463359
Manley Career Academy High School,609722,1.0,13.0,20.0,1.5384615384615385,692347
Marine Leadership Academy - Ames,609780,0.98,60.0,92.3076923076923,4.615384615384616,3839908
Marquette Elem School,610053,0.96,65.0,100.0,1.5384615384615385,3158529
Morgan Park High School,609725,1.0,87.0,133.84615384615384,3.076923076923077,5894077
Mount Greenwood Elem School,610082,0.96,56.0,86.15384615384616,1.5384615384615385,3670346
Mount Vernon Elem School,610086,0.96,16.0,24.615384615384617,1.5384615384615385,743160
Moving Everest Charter School,400178,1.0,20.0,30.76923076923077,3.076923076923077,1103250
Namaste Elem Charter School,400050,0.93,28.0,43.07692307692308,3.076923076923077,2077551
National Teachers Elem Academy,610231,0.95,43.0,66.15384615384615,1.5384615384615385,2090775
New Field Elem School,610284,0.96,42.0,64.61538461538461,1.5384615384615385,2396089
Ninos Heroes Elem Academic Ctr,609961,0.91,20.0,30.76923076923077,1.5384615384615385,1164987
Noble St Chtr-Comer College Prep,400117,0.91,62.0,95.38461538461539,22.46153846153846,3548107
Noble St Chtr-Golder College Prep,400053,0.9,35.0,53.84615384615385,19.076923076923077,1784145
Noble St Chtr-Muchin College Prep,400118,0.9,50.0,76.92307692307693,22.153846153846153,2390535
Noble St Chtr-Pritzker College Prep,400054,0.9,50.0,76.92307692307693,20.307692307692307,2390457
Noble St Chtr-The Noble Academy,400170,0.91,26.0,40.0,11.076923076923077,1372759
Noble St Chtr-UIC College Prep,400118,0.91,48.0,73.84615384615385,20.0,2453273
North Lawndale Prep Chtr - Christiana,400058,0.91,25.0,38.46153846153847,5.6923076923076925,1293287
North Lawndale Prep Chtr-Collins,400058,0.92,25.0,38.46153846153847,5.6923076923076925,1622853
North River Elem School,610354,0.96,22.0,33.84615384615385,1.5384615384615385,1050494
North-Grand High School,609691,1.0,63.0,96.92307692307692,6.153846153846154,3440251
Northside College Preparatory Hs,609749,0.96,64.0,98.46153846153847,6.153846153846154,4732604
Northside Learning Center,609744,0.94,33.0,50.76923076923077,1.5384615384615385,417134
Northwest Middle School,610051,1.0,28.0,43.07692307692308,1.5384615384615385,1338686
Norwood Park Elem School,610099,0.96,24.0,36.92307692307693,1.5384615384615385,1478195
Oriole Park Elem School,610105,0.96,45.0,69.23076923076923,1.5384615384615385,2793620
Orr Academy High School,610389,1.0,23.0,35.38461538461539,3.076923076923077,1066874
Park Manor Elem School,610115,0.96,15.0,23.076923076923077,1.5384615384615385,1065700
Parkside Elem Community Academy,610116,0.91,15.0,23.076923076923077,1.5384615384615385,840323
Peace and Education Coalition HS,610386,0.91,20.0,30.76923076923077,3.076923076923077,349406
Perspectives Chtr - High School of Technology,400062,0.93,33.0,50.76923076923077,1.5384615384615385,909722
Perspectives Chtr - Leadership Acad,400061,0.91,49.0,75.38461538461539,3.0,1146355
Phoenix Military Academy HS,610304,0.95,32.0,49.23076923076923,3.076923076923077,2310157
Pilsen Elem Community Academy,610013,0.91,26.0,40.0,1.5384615384615385,1075316
Plato Learning Acad  Elem School,400068,0.92,15.0,23.076923076923077,4.615384615384616,851024
Polaris Elem Charter Academy,400069,0.91,24.0,36.92307692307693,3.076923076923077,1497626
Portage Park Elem School,610135,0.96,53.0,81.53846153846153,3.076923076923077,3031817
Ravenswood Elem School,610141,0.96,35.0,53.84615384615385,1.5384615384615385,1859842
Rowe Elementary,400096,0.9,63.0,96.92307692307692,8.307692307692308,3248572
Sauganash Elem School,610155,0.96,32.0,49.23076923076923,1.5384615384615385,2135551
Senn High School,610323,0.9,108.0,166.15384615384616,7.6923076923076925,6476742
Simpson Acad HS for Young Women,609750,0.93,12.0,18.461538461538463,1.5384615384615385,371635
Skinner North Elem Sch,610534,0.92,27.0,41.53846153846154,1.5384615384615385,1639249
South Loop Elem School,609990,0.96,42.0,64.61538461538461,1.5384615384615385,2758652
South Shore Fine Arts Elem Sch,610530,0.93,26.0,40.0,1.5384615384615385,1292467
South Shore Intl Col Prep HS,610547,0.92,41.0,63.07692307692307,3.076923076923077,2740568
Southside Occupational Acad HS,609745,0.94,33.0,50.76923076923077,1.5384615384615385,316069
Spencer Technology Acad Elem Sch,610183,0.95,37.0,56.92307692307692,1.5384615384615385,2209635
Spry Community Links High School,610357,1.0,15.0,23.076923076923077,1.5384615384615385,811323
STEM Magnet Academy Elem,610548,0.96,30.0,46.15384615384615,1.5384615384615385,1680454
Stone Elem Scholastic Academy,610191,0.9,42.0,64.61538461538461,1.5384615384615385,2549194
Suder Montessori Elem Magnet Schl,610405,0.93,25.0,38.46153846153847,3.076923076923077,1401992
Talman Elem School,610249,0.95,26.0,40.0,1.5384615384615385,1403343
Telpochcalli Elem School,609921,0.96,21.0,32.30769230769231,1.5384615384615385,1288773
Thomas Kelly College Preparatory,609715,1.0,122.0,187.69230769230768,6.153846153846154,7760799
Turner-Drew Elem Language Academy,609895,0.93,15.0,23.076923076923077,1.5384615384615385,1056211
Univ of Chicago Chtr-Woodlawn,400077,0.91,44.0,67.6923076923077,8.076923076923077,2025961
Uplift Community High School,610394,1.0,20.0,30.76923076923077,1.5384615384615385,978278
