ca_id,count_schools,tot_student,perc_low_income,perc_black_his_stu,bus_count,pre_cov_att,post_cov_att,att_diff_pp,dolla_per_student,comm_area_x,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
1,10,290.3,0.8132236020060004,0.9637008804256499,2.5,82.22333333333333,72.39541666666666,9.827916666666667,13419.306501943382,Rogers Park,34.65535076,30.9,-12.37477159599269,46.00039537767554,57.69638588861133,95.3245701470222,46244.10377,29682.50362,1061.667724,86.84569350806757,81.3953488372093,1.0,1.0,52772,-87.670171,42.00963,8.8,14.28420781,68.4,10.9442281,4.433981135,63.1,39.85668375,17.14122772,57.53503671,49.13058803,8.6,23.4
2,2,296.0,0.6775370092254881,0.9788314381749267,2.0,90.525,83.7,6.825000000000003,15656.648930844596,West Ridge,35.61764109,36.0,5.359362832825585,31.33450985869,49.45088429846501,93.69175075098204,57937.30032,27671.16952,1181.841238,92.00543539802966,85.89438719661797,1.0,1.0,77139,-87.695017,42.001583,8.0,14.47786444,67.6,8.20503211,6.693774576,58.8,44.47034279,20.77475759,50.00705398,48.78421303,6.0,8.5
3,1,181.0,0.8232044198895028,0.988950276243094,2.0,76.75,73.6,3.1500000000000057,24837.331491712706,Uptown,36.502262,24.4,-10.02187219713301,33.07318385951928,65.02110911139893,96.5931137956903,57878.09524,42111.65248,1090.966667,88.86233121216824,85.06596306068602,0.999524648,0.987426531,52255,-87.655899,41.965822,8.7,9.620805744,74.8,7.780067252,3.059069198,64.4,45.60591143,15.42645152,56.47108956,44.96837289,6.5,24.4
4,6,215.66666666666666,0.7979090788713411,0.9842064895329292,2.5,86.37708333333332,79.75416666666668,6.622916666666659,23274.47320851992,Lincoln Square,35.12663571,15.0,-9.153318077803204,20.814993954050788,66.19347037484886,94.55628219648533,80899.83877,49797.24946,1337.445501,92.75453168259938,90.82693412735726,1.0,1.0,40412,-87.687513,41.975182,6.6,9.104656545,81.7,6.649648014,3.733345507,64.6,51.93813597,7.013739342,71.97074657,39.84578757,1.9,12.9
5,6,655.0,0.6976295550076114,0.966998390909009,2.5,87.54791666666667,83.95833333333333,3.589583333333335,14189.786721555676,North Center,34.31010125,4.0,10.09249098604797,14.51496873443639,61.903049084168,96.78630492111029,133537.464,77950.66977,1520.46695,91.92954256245396,89.29743486705513,1.0,1.0,35150,-87.683839,41.947811,6.3,2.555063044,83.5,9.309656619,3.101544582,74.8,50.38610279,4.384798107,85.90212412,25.45965746,0.5,12.6
6,4,844.5,0.43484214475702027,0.5168102461836287,2.5,89.440625,88.13125000000001,1.3093749999999957,12114.776062263523,Lake View,31.50931929,5.2,8.68304207051478,13.217257562014431,74.1491501360571,96.4884054887778,91941.20988,74366.38873,1570.31014,90.3362727603472,88.39243949342527,1.0,1.0,91836,-87.656001,41.944236,6.9,3.785383342,83.1,7.764588586,1.9428283,65.4,49.3906987,3.775439414,83.27674977,35.00578311,1.4,13.9
7,4,534.25,0.7294133801131903,0.9782688229255552,1.75,86.63125,83.0,3.6312500000000014,14019.241669864203,Lincoln Park,30.5704314,7.3,9.595771144278608,10.040535878564857,65.87080266789329,96.8772504091653,117048.0738,90189.4832,1746.473605,86.33961203261175,85.60303626651672,0.999331703,0.994723449,63433,-87.649491,41.922696,6.6,2.429769482,82.1,9.496013824,1.373244845,68.7,44.44137321,3.405391163,81.80714449,31.88850368,0.5,9.5
8,3,361.3333333333333,0.5610439631437176,0.8479577456900108,2.0,83.63333333333334,83.28333333333333,0.3500000000000038,12926.880640732974,Near North Side,34.6875,12.1,44.8695938800456,13.01818562968398,70.98370106388555,97.42181270488172,109049.1788,105016.5142,2005.399702,86.25477993551773,85.24105870885506,0.999735737,1.0,95467,-87.633318,41.899611,9.2,2.230596458,76.9,15.5863573,1.738027663,63.0,40.53948567,4.480507966,85.08344664,33.0755891,3.2,13.6
9,6,432.5,0.7626279892478651,0.9910273381940272,3.0,88.77291666666667,77.40625,11.366666666666669,15548.633622031914,Edison Park,41.2605042,24.2,1.7390536723163843,10.289038356662424,58.27122341392474,98.19060988925284,113960.728,61123.82167,1300.572519,84.21719839425312,80.43524191844497,1.0,1.0,11521,-87.81378,42.007627,5.0,1.509962511,88.1,7.226765785,1.62058086,85.5,59.24998171,1.408822591,92.71909655,40.60034748,1.9,11.1
10,6,543.3333333333334,0.7421618873388492,0.7660049486587625,3.5,89.14791666666667,85.68541666666665,3.4625000000000035,14991.00488990517,Norwood Park,41.69027061,31.2,2.024345417254881,15.993262477298469,52.5485830754501,95.75957902409289,90475.12039,45493.48943,1189.246266,84.74488637995171,81.47529165307054,1.0,1.0,41109,-87.803451,41.985248,6.0,4.076038593,85.4,3.252703172,4.696556013,77.1,55.00925636,6.527929263,86.66492373,41.68988663,1.8,15.2
