,School ID,Year,Network,Attendance
0,400013,2013,Charter,96.05
1,400013,2014,Charter,91.725
2,400013,2015,Charter,87.525
3,400013,2016,Charter,90.775
4,400013,2017,Charter,89.9
5,400013,2018,Charter,89.15
6,400013,2019,Charter,91.7
7,400013,2021,Charter,85.475
8,400013,2022,Charter,84.75
9,400022,2013,Contract,94.45
10,400022,2014,Contract,94.825
11,400022,2015,Contract,97.125
12,400022,2016,Contract,96.925
13,400022,2017,Contract,98.925
14,400022,2018,Contract,96.025
15,400022,2019,Contract,97.375
16,400022,2021,Contract,94.2
17,400022,2022,Contract,95.175
22,400029,2017,Charter,76.9
27,400032,2013,Charter,94.575
28,400032,2014,Charter,95.85
29,400032,2015,Charter,95.625
30,400032,2016,Charter,91.0
31,400032,2017,Charter,89.0
32,400032,2018,Charter,89.0
33,400032,2019,Charter,88.175
34,400032,2021,Charter,78.7
35,400032,2022,Charter,81.85
36,400033,2013,Charter,85.8
37,400033,2014,Charter,90.35
38,400033,2015,Charter,91.275
39,400033,2016,Charter,90.25
40,400033,2017,Charter,87.95
41,400033,2018,Charter,88.975
42,400033,2019,Charter,87.7
43,400033,2021,Charter,81.2
44,400033,2022,Charter,77.6
45,400034,2013,Charter,95.825
46,400034,2014,Charter,95.775
47,400034,2015,Charter,95.35
48,400034,2016,Charter,94.325
49,400034,2017,Charter,93.25
50,400034,2018,Charter,93.975
51,400034,2019,Charter,93.975
52,400034,2021,Charter,98.35
53,400034,2022,Charter,89.175
54,400035,2013,Charter,94.375
55,400035,2014,Charter,95.95
56,400035,2015,Charter,96.425
57,400035,2016,Charter,95.95
58,400035,2017,Charter,94.9
59,400035,2018,Charter,95.575
60,400035,2019,Charter,94.8
61,400035,2021,Charter,96.75
62,400035,2022,Charter,92.175
63,400051,2013,Charter,95.4
64,400051,2014,Charter,95.375
65,400051,2015,Charter,94.6
66,400051,2016,Charter,94.45
67,400051,2017,Charter,94.125
68,400051,2018,Charter,94.175
69,400051,2019,Charter,94.725
70,400051,2021,Charter,67.425
71,400051,2022,Charter,86.775
72,400052,2013,Charter,94.175
73,400052,2014,Charter,93.95
74,400052,2015,Charter,92.8
75,400052,2016,Charter,93.2
76,400052,2017,Charter,93.175
77,400052,2018,Charter,92.0
78,400052,2019,Charter,92.825
79,400052,2021,Charter,81.8
80,400052,2022,Charter,81.825
81,400053,2013,Charter,95.375
82,400053,2014,Charter,94.82499999999999
83,400053,2015,Charter,95.125
84,400053,2016,Charter,94.275
85,400053,2017,Charter,93.125
86,400053,2018,Charter,93.325
87,400053,2019,Charter,91.4
88,400053,2021,Charter,62.85
89,400053,2022,Charter,82.425
90,400054,2013,Charter,94.975
91,400054,2014,Charter,95.65
92,400054,2015,Charter,95.725
93,400054,2016,Charter,95.15
94,400054,2017,Charter,94.85
95,400054,2018,Charter,94.575
96,400054,2019,Charter,94.725
97,400054,2021,Charter,85.075
98,400054,2022,Charter,88.5
99,400055,2013,Charter,94.35
100,400055,2014,Charter,94.35000000000001
101,400055,2015,Charter,94.2
102,400055,2016,Charter,94.075
103,400055,2017,Charter,93.075
104,400055,2018,Charter,93.0
105,400055,2019,Charter,93.125
106,400055,2021,Charter,79.10000000000001
107,400055,2022,Charter,81.5
108,400056,2013,Charter,93.45
109,400056,2014,Charter,92.75
110,400056,2015,Charter,92.225
111,400056,2016,Charter,91.625
112,400056,2017,Charter,89.175
113,400056,2018,Charter,88.89999999999999
114,400056,2019,Charter,90.625
115,400056,2021,Charter,65.825
116,400056,2022,Charter,79.25
117,400057,2013,Charter,95.75
118,400057,2014,Charter,94.95
119,400057,2015,Charter,95.575
120,400057,2016,Charter,94.9
121,400057,2017,Charter,94.15
122,400057,2018,Charter,92.7
123,400057,2019,Charter,93.375
124,400057,2021,Charter,84.225
125,400057,2022,Charter,82.125
126,400058,2013,Charter,97.4
127,400058,2014,Charter,92.65
128,400058,2015,Charter,97.0
129,400058,2016,Charter,95.95
130,400058,2017,Charter,93.19999999999999
131,400058,2018,Charter,95.89999999999999
132,400058,2019,Charter,92.4
133,400058,2021,Charter,79.525
134,400058,2022,Charter,78.5
135,400059,2013,Charter,93.75
136,400059,2014,Charter,90.975
137,400059,2015,Charter,91.075
138,400059,2016,Charter,91.575
139,400059,2017,Charter,90.19999999999999
140,400059,2018,Charter,92.05
141,400059,2019,Charter,96.325
142,400059,2021,Charter,77.85
143,400059,2022,Charter,71.775
144,400061,2013,Charter,97.075
145,400061,2014,Charter,93.95
146,400061,2015,Charter,94.35
147,400061,2016,Charter,91.9
148,400061,2017,Charter,90.475
149,400061,2018,Charter,90.8
150,400061,2019,Charter,92.175
151,400061,2021,Charter,82.05
152,400061,2022,Charter,80.94999999999999
153,400062,2013,Charter,99.0
154,400062,2014,Charter,93.45
155,400062,2015,Charter,94.45
156,400062,2016,Charter,92.125
157,400062,2017,Charter,91.45
158,400062,2018,Charter,90.775
159,400062,2019,Charter,91.475
160,400062,2021,Charter,79.35
161,400062,2022,Charter,79.825
162,400064,2013,Charter,98.4
163,400064,2014,Charter,96.825
164,400064,2015,Charter,95.55
165,400064,2016,Charter,94.325
166,400064,2017,Charter,92.42500000000001
167,400064,2018,Charter,92.75
168,400064,2019,Charter,93.65
169,400064,2021,Charter,78.325
170,400064,2022,Charter,80.07499999999999
171,400066,2013,Charter,97.35
172,400066,2014,Charter,92.925
173,400066,2015,Charter,92.225
174,400066,2016,Charter,92.2
175,400066,2017,Charter,89.25
176,400066,2018,Charter,89.9
177,400066,2019,Charter,89.2
178,400066,2021,Charter,70.5
179,400066,2022,Charter,76.7
180,400077,2013,Charter,96.025
181,400077,2014,Charter,95.8
182,400077,2015,Charter,95.55000000000001
183,400077,2016,Charter,92.92500000000001
184,400077,2017,Charter,92.85
185,400077,2018,Charter,93.375
186,400077,2019,Charter,92.55
187,400077,2021,Charter,85.625
188,400077,2022,Charter,82.975
189,400085,2013,Charter,97.075
190,400085,2014,Charter,95.025
191,400085,2015,Charter,93.4
192,400085,2016,Charter,93.4
193,400085,2017,Charter,94.6
194,400085,2018,Charter,93.25
195,400085,2019,Charter,90.55
196,400085,2021,Charter,81.85
197,400085,2022,Charter,81.0
198,400086,2013,Charter,94.475
199,400086,2014,Charter,94.2
200,400086,2015,Charter,94.5
201,400086,2016,Charter,92.25
202,400086,2017,Charter,91.375
203,400086,2018,Charter,90.425
204,400086,2019,Charter,93.625
205,400086,2021,Charter,79.95
206,400086,2022,Charter,89.9
207,400091,2013,Contract,85.425
208,400091,2014,Contract,88.25
209,400091,2015,Contract,87.85
210,400091,2016,Contract,88.4
211,400091,2017,Contract,87.5
212,400091,2018,Contract,90.125
213,400091,2019,Contract,89.775
214,400091,2021,Contract,81.67500000000001
215,400091,2022,Contract,83.425
216,400094,2013,Charter,90.025
217,400094,2014,Charter,89.6
218,400094,2015,Charter,90.325
219,400094,2016,Charter,91.4
220,400094,2017,Charter,91.05
221,400094,2018,Charter,92.925
222,400094,2019,Charter,91.65
223,400094,2021,Charter,81.1
224,400094,2022,Charter,78.775
225,400097,2013,Charter,93.525
226,400097,2014,Charter,93.525
227,400097,2015,Charter,93.25
228,400097,2016,Charter,94.3
229,400097,2017,Charter,93.475
230,400097,2018,Charter,93.5
231,400097,2019,Charter,92.95
232,400097,2021,Charter,77.975
233,400097,2022,Charter,83.55
234,400098,2013,Charter,96.85
235,400098,2014,Charter,96.675
236,400098,2015,Charter,96.325
237,400098,2016,Charter,96.875
238,400098,2017,Charter,95.425
239,400098,2018,Charter,95.05
240,400098,2019,Charter,94.575
241,400098,2021,Charter,76.425
242,400098,2022,Charter,85.19999999999999
243,400104,2013,Charter,87.66666666666667
244,400104,2014,Charter,92.425
245,400104,2015,Charter,90.675
246,400104,2016,Charter,89.7
247,400104,2017,Charter,89.625
248,400104,2018,Charter,87.575
249,400104,2019,Charter,87.55
250,400104,2021,Charter,97.0
251,400104,2022,Charter,79.8
252,400105,2013,Charter,96.33333333333333
253,400105,2014,Charter,92.925
254,400105,2015,Charter,90.475
255,400105,2016,Charter,91.175
256,400105,2017,Charter,91.875
257,400105,2018,Charter,92.075
258,400105,2019,Charter,93.4
259,400105,2021,Charter,90.625
260,400105,2022,Charter,91.85
261,400106,2013,Charter,91.66666666666667
262,400106,2014,Charter,93.625
263,400106,2015,Charter,92.47500000000001
264,400106,2016,Charter,91.225
265,400106,2017,Charter,88.15
266,400106,2018,Charter,86.675
267,400106,2019,Charter,88.35
268,400106,2021,Charter,63.15
269,400106,2022,Charter,76.5
270,400115,2013,Charter,95.2
271,400115,2014,Charter,95.35
272,400115,2015,Charter,95.025
273,400115,2016,Charter,95.475
274,400115,2017,Charter,94.375
275,400115,2018,Charter,95.25
276,400115,2019,Charter,94.625
277,400115,2021,Charter,95.575
278,400115,2022,Charter,85.75
279,400117,2013,Charter,92.1
280,400117,2014,Charter,91.55
281,400117,2015,Charter,92.23333333333333
282,400117,2016,Charter,91.85
283,400117,2017,Charter,90.35
284,400117,2018,Charter,91.275
285,400117,2019,Charter,92.8
286,400117,2021,Charter,74.225
287,400117,2022,Charter,83.575
288,400118,2013,Charter,91.3
289,400118,2014,Charter,90.85
290,400118,2015,Charter,91.2
291,400118,2016,Charter,90.725
292,400118,2017,Charter,88.875
293,400118,2018,Charter,87.3
294,400118,2019,Charter,87.375
295,400118,2021,Charter,50.125
296,400118,2022,Charter,71.65
297,400119,2013,Charter,87.3
298,400119,2014,Charter,85.95
299,400119,2015,Charter,87.66666666666667
300,400119,2016,Charter,86.75
301,400119,2017,Charter,89.375
302,400119,2018,Charter,86.725
303,400119,2019,Charter,85.575
304,400119,2021,Charter,75.45
305,400119,2022,Charter,79.9
307,400121,2014,Charter,93.0
308,400121,2015,Charter,94.7
309,400121,2016,Charter,94.36666666666667
310,400121,2017,Charter,93.625
311,400121,2018,Charter,93.825
312,400121,2019,Charter,92.0
313,400121,2021,Charter,85.9
314,400121,2022,Charter,82.375
315,400123,2013,Options,63.875
316,400123,2014,Options,80.13333333333333
317,400123,2015,Options,71.03333333333335
318,400123,2016,Options,70.8
319,400123,2017,Options,54.5
320,400123,2018,Options,49.875
321,400123,2019,Options,64.06666666666666
322,400123,2021,Options,62.300000000000004
323,400123,2022,Options,49.0
324,400124,2013,Options,75.86666666666666
325,400124,2014,Options,79.06666666666666
326,400124,2015,Options,79.26666666666667
327,400124,2016,Options,73.0
328,400124,2017,Options,61.025000000000006
329,400124,2018,Options,59.35
330,400124,2019,Options,65.26666666666667
331,400124,2021,Options,71.3
332,400124,2022,Options,68.5
333,400125,2013,Options,77.03333333333333
334,400125,2014,Options,74.5
335,400125,2015,Options,66.63333333333334
336,400125,2016,Options,57.93333333333334
337,400125,2017,Options,55.75
338,400125,2018,Options,54.825
339,400125,2019,Options,65.23333333333333
340,400125,2021,Options,70.73333333333333
341,400125,2022,Options,66.86666666666666
342,400126,2013,Options,77.66666666666667
343,400126,2014,Options,81.73333333333333
344,400126,2015,Options,60.333333333333336
345,400126,2016,Options,65.5
346,400126,2017,Options,62.275
347,400126,2018,Options,55.45
348,400126,2019,Options,60.800000000000004
349,400126,2021,Options,62.36666666666667
350,400126,2022,Options,45.800000000000004
351,400127,2013,Options,72.63333333333334
352,400127,2014,Options,74.56666666666666
353,400127,2015,Options,74.56666666666666
354,400127,2016,Options,75.8
355,400127,2017,Options,74.17500000000001
356,400127,2018,Options,67.63333333333333
357,400127,2019,Options,70.83333333333333
358,400127,2021,Options,85.73333333333333
359,400127,2022,Options,55.800000000000004
360,400128,2013,Options,82.60000000000001
361,400128,2014,Options,69.4
362,400128,2015,Options,62.5
363,400128,2016,Options,60.53333333333333
364,400128,2017,Options,59.55
365,400128,2018,Options,56.925
366,400128,2019,Options,51.699999999999996
367,400128,2021,Options,51.06666666666666
