finance_id,fy_2022_proposed_budget
25871,6504830.0
29111,4918846.0
66255,8498369.0
66254,4858487.0
66351,2373078.0
24191,7612464.0
63011,5924916.0
11201,5238553.0
12410,8523298.0
12430,1708926.0
66392,3521421.0
66602,7532591.0
66393,6289173.0
66601,3519239.0
66399,7205579.0
66394,9709006.0
66131,3194026.0
66397,7456272.0
66396,7432509.0
66133,7074359.0
66391,3821637.0
66395,7662077.0
66398,6529527.0
66134,8354043.0
66137,7855754.0
26291,6191624.0
25471,13668165.0
23791,5873825.0
45231,3663463.0
46471,4858662.0
66151,6083652.0
32011,3088882.0
46221,35817946.0
29371,5383489.0
70241,4597667.0
25681,7722771.0
22301,6279612.0
22231,9794425.0
23391,4732587.0
23501,5325271.0
24691,7095524.0
22131,3717332.0
24981,2774373.0
26441,2905474.0
26521,5209057.0
22551,6109970.0
29171,4846475.0
22841,3381421.0
29211,2527373.0
23421,5684139.0
25331,5181689.0
69228,4124215.0
24171,4566116.0
22971,5477312.0
22541,8592371.0
26191,4855620.0
10890,5300642.0
32081,5784737.0
66191,4814103.0
11210,5252671.0
22091,5211067.0
22421,5187930.0
46621,4276363.0
22101,3383817.0
46551,10862235.0
26732,25836.0
26731,5280806.0
29321,12036201.0
26771,6578735.0
46421,18175879.0
26321,4922470.0
24551,5881522.0
25371,3865176.0
30071,6392631.0
10110,1378906.0
22371,8129562.0
46491,5461413.0
22311,6391847.0
23561,3804658.0
24781,6832534.0
26451,5018435.0
26181,3404089.0
55191,2854496.0
12610,7971920.0
22431,6296462.0
29021,5524520.0
12280,1104168.0
66075,5510025.0
11890,3483573.0
22511,3313132.0
26821,7723299.0
63141,4843748.0
63142,3774503.0
63143,2948420.0
63144,2120462.0
66011,1269842.0
46281,18588557.0
24201,6883222.0
25941,4401066.0
22571,5674749.0
26541,4571067.0
46381,6126882.0
31211,8417112.0
66433,16543897.0
66432,6791127.0
25151,10064262.0
53041,13803727.0
23901,3540206.0
23531,4484484.0
22901,11499825.0
26621,4027492.0
31151,3456516.0
23821,4998773.0
46291,14012216.0
22881,6504125.0
23721,3361194.0
22361,2705371.0
22931,5619393.0
31221,4006810.0
23031,4493227.0
45211,6321812.0
46481,6222298.0
66671,5208780.0
47091,11819703.0
63051,7237027.0
66371,6604318.0
66231,8297388.0
66071,9136613.0
66061,18581254.0
66241,14016233.0
66161,5584327.0
66072,3100630.0
66181,6617835.0
66221,6972937.0
66381,9141684.0
66074,7144027.0
66076,3949368.0
66281,8809717.0
70070,4872871.0
63091,5449777.0
53011,11482462.0
10816,1169430.0
10465,1840845.0
10415,500481.0
23051,8017850.0
46111,4897385.0
22791,2635622.0
66661,6913554.0
10875,30448203.0
22151,5270337.0
31301,7284276.0
10870,1515993.0
49131,4577723.0
20071,9365638.0
10510,1672144.0
49041,8512077.0
10850,3175063.0
10855,8083503.0
23891,2665393.0
30141,6910741.0
31041,3298784.0
24431,7026471.0
22271,9065559.0
30051,8759605.0
55161,2960065.0
22851,5952601.0
22531,8038026.0
25811,6583633.0
25791,3754829.0
53091,9889884.0
5261,3091664.0
10825,2527998.0
46521,2224338.0
22951,4698583.0
22751,10799735.0
26921,11981626.0
11672,6911476.0
11674,82453398.0
11675,219586804.0
11673,10787900.0
11610,33294473.0
24571,7518452.0
25591,4999787.0
22581,9736949.0
46371,7616300.0
26371,3936285.0
53021,6616241.0
26831,8024830.0
26051,4609047.0
63081,7488777.0
11360,1024389.0
11385,101806569.0
13725,7701952.0
13727,11441016.0
29261,2734613.0
23071,4272669.0
28081,6065437.0
22411,5059018.0
12670,786953301.0
