,ward,year,size,crime_capita
0,1,2012,6263,0.11387272727272728
1,1,2013,5364,0.09752727272727273
2,1,2014,4656,0.08465454545454545
3,1,2015,4557,0.08285454545454546
4,1,2016,5260,0.09563636363636363
5,1,2017,5374,0.09770909090909091
6,1,2018,4841,0.08801818181818181
7,1,2019,4818,0.0876
8,1,2020,3428,0.062327272727272724
9,1,2021,3365,0.061181818181818184
10,1,2022,4421,0.08038181818181818
11,2,2012,12341,0.22438181818181818
12,2,2013,11405,0.20736363636363636
13,2,2014,10865,0.19754545454545455
14,2,2015,10679,0.19416363636363637
15,2,2016,11352,0.2064
16,2,2017,11458,0.20832727272727272
17,2,2018,10087,0.1834
18,2,2019,5274,0.0958909090909091
19,2,2020,3267,0.0594
20,2,2021,3492,0.0634909090909091
21,2,2022,3757,0.0683090909090909
22,3,2012,8626,0.15683636363636363
23,3,2013,8342,0.15167272727272726
24,3,2014,7301,0.13274545454545456
25,3,2015,6698,0.12178181818181819
26,3,2016,7046,0.12810909090909092
27,3,2017,7096,0.1290181818181818
28,3,2018,7016,0.12756363636363635
29,3,2019,7405,0.13463636363636364
30,3,2020,6267,0.11394545454545454
31,3,2021,6187,0.11249090909090909
32,3,2022,7412,0.13476363636363636
33,4,2012,5397,0.09812727272727273
34,4,2013,4916,0.08938181818181819
35,4,2014,4612,0.08385454545454546
36,4,2015,4610,0.08381818181818182
37,4,2016,5049,0.0918
38,4,2017,5186,0.09429090909090909
39,4,2018,5577,0.1014
40,4,2019,6975,0.12681818181818183
41,4,2020,5480,0.09963636363636363
42,4,2021,5681,0.10329090909090909
43,4,2022,7794,0.1417090909090909
44,5,2012,8429,0.15325454545454545
45,5,2013,7725,0.14045454545454544
46,5,2014,6501,0.1182
47,5,2015,6332,0.11512727272727273
48,5,2016,6006,0.1092
49,5,2017,6221,0.11310909090909091
50,5,2018,6340,0.11527272727272728
51,5,2019,5925,0.10772727272727273
52,5,2020,5275,0.0959090909090909
53,5,2021,5301,0.09638181818181818
54,5,2022,6138,0.1116
55,6,2012,11488,0.20887272727272727
56,6,2013,10492,0.19076363636363636
57,6,2014,8812,0.16021818181818182
58,6,2015,8944,0.16261818181818183
59,6,2016,8706,0.1582909090909091
60,6,2017,8599,0.15634545454545454
61,6,2018,8882,0.1614909090909091
62,6,2019,9772,0.17767272727272726
63,6,2020,8594,0.15625454545454545
64,6,2021,8035,0.1460909090909091
65,6,2022,8531,0.15510909090909092
66,7,2012,9169,0.16670909090909092
67,7,2013,8236,0.14974545454545454
68,7,2014,7814,0.14207272727272727
