,School_ID,Wards
0,400011,23
1,609958,3
2,400049,14
3,400134,48
4,400142,46
5,400147,22
6,609682,4
7,609737,38
8,609804,27
9,609821,37
10,610046,21
11,610107,41
12,609920,1
13,609922,44
14,609926,46
15,609935,47
16,609944,47
17,609976,16
18,609981,28
19,609997,2
20,610110,9
21,610192,49
22,610304,46
23,610148,4
24,610167,3
25,610182,38
26,610230,29
27,610219,47
28,610231,9
29,610246,9
30,610252,46
31,610269,39
32,610559,8
33,610548,23
34,610594,49
35,610572,37
36,400107,47
37,610036,45
38,610542,27
39,610005,14
40,609693,23
41,400146,45
42,610157,8
43,609979,48
44,609964,4
45,610541,21
46,609850,39
47,610213,33
48,610141,18
49,400009,8
50,610293,23
51,400130,32
52,610159,21
53,609987,9
54,610070,18
55,610340,44
56,400167,3
57,609884,19
58,609927,13
59,400021,7
60,610122,16
61,400172,21
62,609848,43
63,610029,11
64,610203,6
65,610520,41
66,609872,26
67,609788,42
68,610369,13
69,400027,20
70,610037,4
71,400085,8
72,610263,4
73,609698,30
74,610191,27
75,610145,44
76,609973,28
77,610242,39
78,609716,17
79,609740,41
80,400081,26
81,610065,4
82,609756,8
83,400064,9
84,610084,42
85,610044,49
86,400044,14
87,609900,43
88,610298,13
89,610105,29
90,400058,14
91,400046,14
92,610593,22
93,609857,20
94,610041,44
95,400030,44
96,610312,35
97,609755,46
98,610017,1
99,610196,16
100,400161,43
101,610352,30
102,610521,2
103,609977,33
104,609993,3
105,609777,48
106,610248,44
107,610132,43
108,609720,18
109,610282,45
110,610563,3
111,609762,22
112,400036,26
113,610089,12
114,400071,2
115,400136,35
116,610391,3
117,609897,2
118,610083,50
119,609952,1
120,400086,4
121,609715,1
122,609815,37
123,609901,29
124,610121,23
125,609939,43
126,400118,14
127,609863,11
128,400050,1
129,609803,25
130,610178,35
131,609729,50
132,609748,14
133,400153,3
134,610357,1
135,610112,32
136,609947,48
137,610024,28
138,610530,33
139,609796,50
140,610573,37
141,610097,12
142,610171,47
143,609832,6
144,400173,8
145,610316,35
146,400126,49
147,609988,12
148,610158,7
149,610385,28
150,609709,3
151,610055,23
152,400119,23
153,609891,10
154,400094,37
155,609808,22
156,609907,23
157,610034,14
158,610126,10
