,crime_class,Year,Attendance
0,Low,2013,84.584375
1,Low,2014,87.29583333333333
2,Low,2015,87.58291666666666
3,Low,2016,86.51898148148149
4,Low,2017,82.16309523809524
5,Low,2018,86.27583333333334
6,Low,2019,83.09017857142858
7,Low,2021,73.39891774891775
8,Low,2022,74.0441091954023
9,Medium,2013,87.01877289377289
10,Medium,2014,86.83061594202898
11,Medium,2015,86.47152777777777
12,Medium,2016,85.91688988095238
13,Medium,2017,83.8372418879056
14,Medium,2018,84.67188552188551
15,Medium,2019,85.27142857142857
16,Medium,2021,78.01779279279279
17,Medium,2022,76.86755555555555
18,High,2013,88.01479166666667
19,High,2014,87.92729166666666
20,High,2015,87.53736559139784
21,High,2016,85.44472222222223
22,High,2017,85.13118279569892
23,High,2018,84.87685185185185
24,High,2019,86.57555555555555
25,High,2021,83.9779411764706
26,High,2022,79.59261904761905
