ca_id,count_schools,pre_cov_att,post_cov_att,att_diff_pp,comm_area_x,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
1,7,81.39761904761905,66.93402777777779,11.363194444444446,Rogers Park,34.65535076,30.9,-12.37477159599269,46.00039537767554,57.69638588861133,95.3245701470222,46244.10377,29682.50362,1061.667724,86.84569350806757,81.3953488372093,1.0,1.0,52772,-87.670171,42.00963,8.8,14.28420781,68.4,10.9442281,4.433981135,63.1,39.85668375,17.14122772,57.53503671,49.13058803,8.6,23.4
5,3,86.71249999999999,87.46666666666665,-0.7541666666666674,North Center,34.31010125,4.0,10.09249098604797,14.51496873443639,61.903049084168,96.78630492111029,133537.464,77950.66977,1520.46695,91.92954256245396,89.29743486705513,1.0,1.0,35150,-87.683839,41.947811,6.3,2.555063044,83.5,9.309656619,3.101544582,74.8,50.38610279,4.384798107,85.90212412,25.45965746,0.5,12.6
13,4,92.84375,89.7,3.1437499999999976,North Park,38.3153431,40.6,-5.158258615102085,20.9667127512496,48.54301818568542,94.9392047321722,60362.90323,32506.85239,1070.766129,92.83568639231,89.2610393511565,0.996644087,0.998506855,17522,-87.723578,41.983651,7.4,9.698526393,72.0,7.873939201,4.107817455,73.0,66.36286842,14.42116185,58.81033776,39.79154524,4.2,8.1
15,3,87.65833333333335,80.79583333333333,6.862499999999996,Portage Park,38.9126813,34.3,-3.5506580961126417,44.15119135155431,56.67172515214568,94.38493816254416,75868.65629,33413.14927,1114.074329,87.41679467485919,82.89810547875064,1.0,1.0,63038,-87.763401,41.954043,7.1,13.1230297,75.6,9.170525373,5.967496438,67.2,39.54059988,9.411111705,74.36045097,42.59224236,2.4,23.2
16,3,89.02499999999999,83.33333333333333,5.691666666666667,Irving Park,36.20763142,30.3,-11.43017922002626,43.892246847250206,60.5495858518021,94.04750901192348,72045.04095,38887.99043,1170.727338,93.03251803954645,88.0798425639584,1.0,1.0,51911,-87.723457,41.953589,8.1,10.59214873,78.0,8.003021834,4.729319055,63.9,49.3941824,9.896906845,62.71213055,37.41119935,5.9,19.1
19,3,89.60000000000001,80.37916666666666,9.220833333333331,Belmont Cragin,35.22748666,52.4,-0.0358312858312858,82.33360410214755,51.12072904503224,94.8630732179656,58138.0978,21611.65496,1064.839572,85.36460554371003,78.23880597014924,1.0,1.0,78151,-87.765502,41.927275,8.2,17.28339899,72.2,7.475224192,8.238324556,49.4,44.16632921,21.13088159,53.01635671,51.52711809,10.0,18.9
22,3,85.53611111111111,76.08749999999999,9.448611111111115,Logan Square,32.39190816,27.7,-13.359124705313423,40.84540589010003,68.21567301818588,96.60477776758646,84653.4034,52299.251,1394.638305,87.58450945571236,86.91154936598437,1.0,1.0,71742,-87.699149,41.922768,7.1,7.451660058,78.4,9.424221276,4.276809506,72.8,54.37098381,8.932811302,69.40252364,34.84907992,4.2,19.7
24,5,80.685,73.20833333333333,7.476666666666667,West Town,32.62385816,18.2,0.3957225367415795,27.248717979085,73.446173525824,96.57034589928756,112555.2091,68810.35002,1685.728831,85.77586206896551,84.46178937558247,1.0,1.0,87942,-87.676358,41.901216,7.4,5.076638887,80.4,7.568576726,3.383987994,60.1,38.07620447,7.194325802,69.39167124,28.83784881,6.5,21.6
25,7,90.91964285714286,79.25535714285715,11.664285714285715,Austin,36.97618685,52.9,-17.84270848400793,92.72979710327851,45.4513899845382,86.61020087012868,35555.36685,21384.81546,978.327787,77.13863484273924,70.85935757305376,0.997275537,0.925599082,96753,-87.763117,41.894113,14.2,10.91563407,59.6,12.34270104,11.69814983,58.0,33.48612072,34.36138284,39.00671061,59.53000212,60.3,63.6
26,3,89.40833333333335,62.15625,24.75625000000001,West Garfield Park,33.69940978,47.4,-24.266909943959337,95.8942325186488,40.83934744375038,75.2004752004752,29443.39623,14759.95688,1029.02439,66.87965921192757,62.58938080024342,1.0,1.0,17423,-87.730233,41.878602,16.2,8.98171784,52.9,23.80341917,16.53618673,51.7,36.79460041,50.76642495,23.27215021,63.353805,71.7,79.8
