Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U25871,25871,A N Pritzker School," 71,70,513 "," 65,04,830 "," (6,65,682)", 62 , 60 , (3)," 63,31,175 ", 59 , -   ," (6,65,682)",59.5
U29111,29111,A Philip Randolph Magnet School," 51,93,886 "," 49,18,846 "," (2,75,040)", 43 , 42 , (1)," 48,61,656 ", 44 , -   ," (2,75,040)",42
U66291,66291,ACE Technical Charter School, -   , -   , -   , -   , -   , -   ," 2,213 ", -   , -   , -   ,0
U66255,66255,ASPIRA Business and Finance," 95,72,364 "," 84,98,369 "," (10,73,995)", 3 , 3 , -   ," 89,62,437 ", 3 , -   ," (10,73,995)",3
U66254,66254,ASPIRA Charter - Early College Campus," 52,68,271 "," 48,58,487 "," (4,09,784)", 2 , 2 , -   ," 46,90,291 ", 2 , -   ," (4,09,784)",2
U66351,66351,ASPIRA Charter-Haugan Middle School Campus," 30,29,729 "," 23,73,078 "," (6,56,651)", 5 , 5 , -   ," 28,94,363 ", 5 , -   ," (6,56,651)",5
U11116,11116,AUSL Program Support," 19,02,418 ", -   ," (19,02,418)", 14 , -   , (14)," 53,05,864 ", 12 , -   ," (19,02,418)",0
U24191,24191,Abraham Lincoln Elementary School," 85,36,180 "," 76,12,464 "," (9,23,716)", 71 , 66 , (5)," 72,30,540 ", 66 , -   ," (9,23,716)",65.5
U63011,63011,Academy for Global Citizenship," 53,86,233 "," 59,24,916 "," 5,38,683 ", 6 , 6 , -   ," 55,28,163 ", 6 , -   ," 5,38,683 ",6
U69362,69362,Academy of Sacred Heart/Hardey Prep," 2,75,883 ", -   ," (2,75,883)", -   , -   , -   , -   , -   , -   ," (2,75,883)",0
U69257,69257,Academy of St. Benedict the African Laflin," 1,17,327 ", -   ," (1,17,327)", -   , -   , -   ," 31,689 ", -   , -   ," (1,17,327)",0
U11201,11201,Access and Enrollment," 63,48,605 "," 52,38,553 "," (11,10,052)", 21 , 17 , (4)," 64,33,529 ", 18 , -   ," (11,10,052)",17
U12410,12410,Accounting," 70,25,060 "," 85,23,298 "," 14,98,238 ", 31 , 50 , 19 ," 65,07,428 ", 29 , -   ," 14,98,238 ",50
U12430,12430,Accounts Payable," 17,99,243 "," 17,08,926 "," (90,317)", 14 , 19 , 5 ," 14,39,038 ", 14 , -   ," (90,317)",19
U66392,66392,Acero Charter Schools - Bartolome de las Casas," 35,78,136 "," 35,21,421 "," (56,715)", -   , -   , -   ," 32,70,648 ", -   , -   ," (56,715)",0
U66602,66602,Acero Charter Schools - Brighton Park," 74,52,748 "," 75,32,591 "," 79,843 ", -   , -   , -   ," 68,28,890 ", -   , -   ," 79,843 ",0
U66393,66393,Acero Charter Schools - Carlos Fuentes," 65,82,409 "," 62,89,173 "," (2,93,236)", -   , -   , -   ," 66,17,401 ", -   , -   ," (2,93,236)",0
U66601,66601,Acero Charter Schools - Esmeralda Santiago," 35,92,958 "," 35,19,239 "," (73,719)", -   , -   , -   ," 34,17,092 ", -   , -   ," (73,719)",0
U66399,66399,Acero Charter Schools - Jovita Idar," 70,22,052 "," 72,05,579 "," 1,83,527 ", -   , -   , -   ," 62,17,532 ", -   , -   ," 1,83,527 ",0
U66394,66394,Acero Charter Schools - Major Hector P. Garcia MD," 95,03,688 "," 97,09,006 "," 2,05,318 ", -   , -   , -   ," 88,24,691 ", -   , -   ," 2,05,318 ",0
U66131,66131,Acero Charter Schools - Octavio Paz Campus," 34,17,952 "," 31,94,026 "," (2,23,926)", -   , -   , -   ," 36,49,019 ", -   , -   ," (2,23,926)",0
U66397,66397,Acero Charter Schools - Officer Donald J. Marquez," 74,30,625 "," 74,56,272 "," 25,647 ", -   , -   , -   ," 69,92,713 ", -   , -   ," 25,647 ",0
U66396,66396,Acero Charter Schools - PFC Omar E. Torres," 77,15,510 "," 74,32,509 "," (2,83,001)", -   , -   , -   ," 73,71,865 ", -   , -   ," (2,83,001)",0
U66133,66133,Acero Charter Schools - Roberto Clemente," 68,48,812 "," 70,74,359 "," 2,25,547 ", -   , -   , -   ," 60,81,465 ", -   , -   ," 2,25,547 ",0
U66391,66391,Acero Charter Schools - Rufino Tamayo," 39,50,453 "," 38,21,637 "," (1,28,816)", -   , -   , -   ," 36,17,895 ", -   , -   ," (1,28,816)",0
U66395,66395,Acero Charter Schools - SPC Daniel Zizumbo," 79,32,759 "," 76,62,077 "," (2,70,682)", -   , -   , -   ," 70,27,431 ", -   , -   ," (2,70,682)",0
