GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
47,Burnside,3294,2916,2527,1036,2.439189189,2180,19,248,365,457,481,295,236,79,50.02293578,55,156,1938,0,31,2180,1936,1092,918,174,844,918,75,843,576,71,196,0,0,38490,302,250,377,63,1721,244,619,387,96,205,170,311,324,108,52,116,81,39351.85185,26586.8078,992,552,440,309,1301,758,69,198,43,15,9,190,19,6.298672566,284,110,465,442,1954.348315,246,361,383,249,62,370,107,0,75,102597.4026,440,112,250,78,0,0,703.2846715,761,104,231,716,702,276,826,Health Care,Administration,Retail Trade,Transportation,Education,179,92,83,75,67,1855,Transportation,Manufacturing,Health Care,Retail Trade,Wholesale Trade,1088,472,139,91,33,Outside of Chicago,The Loop,Near North Side,Near West Side,Chatham,307,174,60,45,17,Outside of Chicago,South Shore,Roseland,Auburn Gresham,Chatham,793,79,68,63,54,1,1,0.273678094,0.821181888,0,0,0.25506047,1,1,0.37254902
48,Calumet Heights,15974,13812,13088,5518,2.371692642,12343,377,1631,2295,1978,2621,1764,1175,502,49.43205394,108,543,11533,8,151,12337,10793,6033,5604,429,4760,5519,917,4602,3051,403,1053,62,33,189165,1040,2430,1523,463,9630,550,2250,2670,738,2144,1278,1299,1127,849,587,1094,500,57420.14742,35883.58973,5456,3948,1508,820,6276,4537,52,538,736,166,128,25,94,6.549850746,73,304,4407,1492,1949.231632,267,1848,3133,881,147,1108,2702,130,8,177249.1349,1427,82,473,702,170,0,1078.001969,4787,657,669,4685,4608,771,4906,Health Care,Education,Public Administration,Administration,Retail Trade,894,647,456,454,408,2101,Health Care,Retail Trade,Accommodation and Food Service,Transportation,Administration,1386,221,99,67,66,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1545,1377,384,317,128,Outside of Chicago,South Shore,Calumet Heights,South Chicago,East Side,1320,50,33,30,28,1,1,0.431983385,0.799535828,0,0,0.133898666,1,1,0.441203117
37,Fuller Park,3420,2876,2567,1140,2.246491228,2232.313253,84.46987952,430.313253,338.5180723,295.373494,451.2168675,492.6626506,112.0361446,27.72289157,47.44558016,112.1807229,145.6024096,1933.13253,10.39759036,31,2210.097252,1864.078916,773.7915194,589.0895171,184.7020024,1090.287397,510.548881,22.56183746,487.9870436,257.7714959,58.98586572,160.6266196,10.00235571,0.600706714,17989.75854,700.7779238,292.6603154,131.9500657,32.217477,1537.481928,354.0481928,571.8433735,307.4457831,130.9036145,120.7108434,52.53012048,789.7167019,219.6997886,83.01268499,13.06976744,50.06976744,6.923890063,17216.78622,14738.4235,1162.4926,247.8801498,912.2883895,414.2684989,1574.337079,239.9101124,89.4082397,512.2247191,147.8202247,25.97378277,10,540,9,4.860537638,77.52059925,291.3857678,595.4569288,609.9737828,1955.366854,577.1910112,343.6666667,499.6629213,94.28089888,59.53558052,117.8012685,124.1226216,6.972515856,0,168463.7068,907.5961945,389.3298097,310.2452431,159.0211416,38,11,561.3246104,805.0570825,217.0169133,357.435518,771.0570825,681.0570825,391.435518,890,Health Care,Administration,Accommodation and Food Service,Transportation,Retail Trade,172,97,90,77,77,1091,Manufacturing,Wholesale Trade,Health Care,Accommodation and Food Service,Retail Trade,410,292,169,123,81,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,297,163,79,61,20,Outside of Chicago,Gage Park,Roseland,South Shore,Auburn Gresham,494,27,27,25,22,1,1,0.19255084,0.622112689,0.394137263,0,0.320794524,1,1,0.493932487
34,Armour Square,12032,13391,13890,5648,2.446352691,13438.84426,696.557377,1983.934426,2409.639344,2339.245902,2676.745902,1624.590164,985.6639344,722.4672131,46.4571369,1878.122951,751.0737705,1197.540984,9496.106557,116,13423.93153,11294.45485,6308.502832,5863.828057,444.6747751,4985.952016,5684.408197,201.4845052,5482.923692,2326.081306,944.2492502,1338.618461,754.8247251,119.14995,156148.2373,2196.363636,2095.522052,933.4410441,241.6885689,10013.56557,3356.057377,2505.991803,906.647541,384.6967213,1683.180328,1176.991803,2227.375178,911.3694722,684.4978602,703.0114123,380.5463623,561.0442225,37122.66529,24901.0311,5467.844508,2114.335544,3352.535809,393.5135521,5860.348806,588.127321,552.2387268,934.9588859,1055.387268,700.198939,238,1784.437666,7,4.736463122,654.3474801,2587.132626,595.969496,2022.899204,1973.796436,1641.537135,1872.535809,1905.5,255.7758621,185,149.21398,871.8402282,768.4079886,322.5035663,309565.1257,3195.621969,1301,827.1455064,568.7489301,443.235378,55.49215407,698.4822407,4360.266762,831.9629101,1107.577746,4175.924394,4075.924394,1291.920114,5230,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1125,765,429,401,382,5052,Accommodation and Food Service,Administration,Health Care,Retail Trade,Arts and Entertainment,1830,1011,577,388,309,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1774,894,655,360,265,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1126,732,655,284,227,1,1,0.323963865,0.815346511,0.200206398,0,0.094773274,1,1,0.569835386
45,Avalon Park,11147,10185,9458,4145,2.281544029,9596.682362,597.4142059,1471.209098,1526.216281,1669.770152,1967.844374,831.1548284,1060.131684,472.9417398,45.12512307,80,0,9090.682362,129,297,9577.367816,8105.672115,4665.305128,3931.394551,733.9105769,3440.366987,3789.977564,207.2807692,3582.696795,2367.619872,372.6432692,773.5589744,0,68.87467949,161575.6571,871.5539516,2045.533742,811.7127391,321.4770841,6938.780527,664.71668,1922.42937,1755.181963,368.4030327,1240.138867,987.9106145,813.2528736,1081.904215,817.5095785,449.7318008,492.4367816,394.8544061,54418.51813,29200.1494,4049.689655,2705.652921,1346.027491,686.3218391,4738.381443,2889.044674,398.2439863,248,586.3505155,106,80.38487973,430.3573883,0,6.354891132,426.3505155,460.0824742,2370.831615,1481.116838,1951.186618,825.0549828,1556.47079,1258.941581,881.1477663,216.766323,736.6590038,1852.409962,105.5095785,10,171562.2769,1326.111111,152,696.954023,295.1570881,182,0,931.5121958,3130.823755,459,918.8659004,3014.823755,2834.823755,1034.8659,3400,Health Care,Education,Administration,Public Administration,Accommodation and Food Service,654,428,367,299,279,2766,Health Care,Construction,Accommodation and Food Service,Finance,Retail Trade,1912,264,172,115,112,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,977,931,312,182,100,Outside of Chicago,South Shore,Roseland,Austin,Auburn Gresham,998,123,116,114,107,1,1,0.37402721,0.781848032,0,0,0.128206624,1,1,0.357121643
72,Beverly,21992,20034,20027,7691,2.597581589,19817,1267,3576,2888,3562,5022,2191,976,335,44.04398955,11126,1179,6562,194,756,19790,15712,10411,9792,619,5301,9662,686,8976,6254,437,1908,233,144,292725,272,2691,3305,1122,13958,342,1909,2465,1257,4298,3687,595,828,909,1032,1497,2529,110018.1598,55810.52955,7390,6232,1158,477,7867,6155,137,415,238,558,211,153,0,7.388352638,173,538,3540,3616,1942.360595,777,1121,3139,1894,936,329,2213,2814,827,330159.1658,1125,12,645,289,89,90,936.5771812,7193,180,197,7001,6888,389,10094,Education,Health Care,Public Administration,Professional,Accommodation and Food Service,1818,1352,1262,767,632,4004,Transportation,Professional,Accommodation and Food Service,Retail Trade,Health Care,758,716,477,405,361,Outside of Chicago,The Loop,Near West Side,Near North Side,Beverly,3718,3230,558,500,326,Outside of Chicago,Beverly,Auburn Gresham,Morgan Park,Roseland,2069,326,103,98,87,0.96185567,0.987568157,0.662129245,0.820519526,0,0,0.122599567,1,1,0.337818257
75,Morgan Park,25226,22544,21186,8175,2.524281346,20534.30293,1125.402754,3902.905336,3075.184165,4004.44062,4708.208262,1769.557659,1185.340792,763.2633391,43.63474981,6242.948365,911.0843373,12608.27022,86,686,20162.94052,16459.52708,10090.73144,9017.141349,1073.590089,6368.79564,8892.086172,844.2237738,8047.862398,6216.016349,800.3831744,813.2881471,109.065906,109.1088215,282151.3019,994.9579898,3713.57126,2348.135846,971.4040047,14512.35972,914.3872633,3226.478485,3643.796902,1021.232358,2899.27883,2807.185886,1592.843866,1793.765799,1258.475836,838.3271375,1397.427509,1146.208178,64137.0976,34941.99834,8027.048327,5649.484429,2377.896194,754,8781.380623,6027.83045,435.4048443,667,403,557.3356401,136.5605536,541.1557093,13.09342561,6.583400044,397.3737024,988.6193772,4996.262976,2399.124567,1952.846686,704.1211073,2270.148789,3877.581315,1487.529412,442,1919.587361,2535.695167,982,191,192979.925,2136.765799,69,607.7249071,1042.892193,291.1486989,126,1164.315793,7225.453532,758.7843866,801.5947955,6814.29368,6559.29368,1212.754647,9413,Health Care,Education,Public Administration,Administration,Retail Trade,1493,1436,1188,716,709,3228,Health Care,Retail Trade,Education,Professional,Accommodation and Food Service,1238,562,251,232,220,Outside of Chicago,The Loop,Near North Side,Near West Side,Morgan Park,3731,2714,487,457,187,Outside of Chicago,Morgan Park,Beverly,Mount Greenwood,West Pullman,1932,187,110,67,58,1,1,0.463622974,0.791320965,0.298171729,0,0.142611689,1,1,0.288679276
17,Dunning,42164,41932,43147,15746,2.72837546,43587,2020,7780,7550,9269,9641,4078,2343,906,42.66814304,26028,14005,909,2207,438,43369,36186,24106,22999,1052,12080,22487,736,21751,16881,2057,1827,336,650,799060,956,6044,6143,2743,31739,3441,10094,7474,2412,5517,2801,2492,2696,2801,2483,3145,2269,74525.7732,33822.48294,15886,12265,3621,986,16872,10920,338,1639,971,1257,267,1417,63,5.870117188,1057,3335,8173,4307,1953.605424,1989,5740,6138,2138,867,946,7430,3718,166,267202.1028,3310,97,1246,1153,771,43,1101.5625,14042,1065,1844,12993,12443,2893,20094,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,2468,2124,1907,1881,1596,5394,Health Care,Retail Trade,Education,Administration,Accommodation and Food Service,919,825,651,540,448,Outside of Chicago,The Loop,Near North Side,Near West Side,Dunning,10232,3353,857,746,529,Outside of Chicago,Dunning,Portage Park,Belmont Cragin,Norwood Park,2570,529,181,126,98,0.982360533,0.997059784,0.338069882,0.830952381,0,0,0.095425467,1,1,0.220394005
50,Pullman,8921,7325,6820,2995,2.276794658,7131,466,877,1564,1476,1591,647,279,231,42.59615385,857,307,5732,5,230,7131,5977,4040,3404,636,1937,3296,171,3125,2077,163,764,47,74,120575,546,1720,817,234,5335,574,1217,1478,444,964,658,819,932,545,551,378,92,48056.72269,27871.22101,3317,1658,1659,365,3682,1239,1575,230,302,86,52,198,0,5.876675603,8,178,2049,1447,1948.621444,556,1317,1523,259,27,1043,557,58,0,136489.899,1620,54,1076,459,31,0,921.7603912,3056,341,261,2903,2565,414,2950,Health Care,Education,Administration,Retail Trade,Transportation,525,338,311,261,250,2561,Wholesale Trade,Retail Trade,Transportation,Education,Manufacturing,578,428,334,330,283,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1202,605,206,136,58,Outside of Chicago,East Side,Roseland,South Shore,Chatham,1350,84,81,51,45,0.918649868,0.344509948,0.387253983,0.81753401,0.276763011,0,0.303145809,1,1,0.347390777
12,Forest Glen,18165,18508,19596,7021,2.785215781,19928,1357,3854,2596,4603,3977,1959,1001,581,42.42987606,14719,2627,111,2038,433,19893,15335,10133,9637,496,5202,9485,928,8557,6006,1050,1267,190,44,299880,318,2311,3172,1281,14113,756,2128,2072,825,4553,3779,687,866,692,721,1092,3024,129516.6403,59038.73344,7082,6499,583,171,7253,6308,349,323,104,107,9,53,0,7.535924233,259,542,4498,1954,1950.630038,176,1693,3393,1589,402,149,651,3029,2613,463417.5692,534,0,102,209,110,113,1250,6697,188,385,6605,6327,477,8946,Education,Health Care,Professional,Public Administration,Retail Trade,1161,1132,952,815,703,4093,Health Care,Retail Trade,Professional,Construction,Education,1299,507,447,299,234,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3455,2348,604,490,241,Outside of Chicago,Forest Glen,Portage Park,West Ridge,Jefferson Park,2370,241,94,93,88,0.902734051,0.979762068,0.648834408,0.839924839,0,0,0.122040211,1,1,0.362150764
