School_ID,Short_Name,Zip,Lat,Long,GeoNetwork,COMMAREA,WARD_15
400009,GLOBAL CITIZENSHIP,60632,41.80757851,-87.74009744,8,GARFIELD RIDGE,14
400010,ACE TECH HS,60609,41.79612151,-87.62584904,9,WASHINGTON PARK,3
400011,LOCKE A,60612,41.87724835,-87.70523453,5,EAST GARFIELD PARK,28
400013,ASPIRA - EARLY COLLEGE HS,60618,41.93729829,-87.72709566,4,AVONDALE,30
400017,ASPIRA - HAUGAN,60625,41.96640567,-87.72182467,1,ALBANY PARK,35
400021,CATALYST - CIRCLE ROCK,60644,41.88232222,-87.76532198,3,AUSTIN,29
400022,CHIARTS HS,60622,41.89937657,-87.69494501,5,WEST TOWN,26
400023,CICS - AVALON/SOUTH SHORE,60619,41.74317942,-87.58792764,12,AVALON PARK,8
400024,CICS - BASIL,60609,41.79404286,-87.67024266,11,NEW CITY,16
400025,CICS - BUCKTOWN,60647,41.92241463,-87.68135796,6,LOGAN SQUARE,32
400026,CICS - LOOMIS,60643,41.72024642,-87.65756106,11,WASHINGTON HEIGHTS,21
400027,CICS - IRVING PARK,60618,41.95089128,-87.71049243,1,IRVING PARK,33
400028,CICS - PRAIRIE,60628,41.68443304,-87.61688838,13,WEST PULLMAN,9
400029,CICS - WASHINGTON PARK,60637,41.7841264,-87.62126075,9,WASHINGTON PARK,20
400030,CICS - WEST BELDEN,60639,41.9216875,-87.77674854,3,BELMONT CRAGIN,36
400031,CICS - WRIGHTWOOD,60652,41.74536545,-87.6926144,10,ASHBURN,18
400032,CICS - ELLISON HS,60620,41.74838241,-87.66897964,11,AUBURN GRESHAM,17
400033,CICS - LONGWOOD,60643,41.72122143,-87.65576813,11,WASHINGTON HEIGHTS,21
400034,CICS - NORTHTOWN HS,60659,41.99024501,-87.72650426,1,NORTH PARK,39
400035,CHICAGO MATH & SCIENCE HS,60626,42.01303149,-87.67481842,2,ROGERS PARK,49
400036,CHICAGO VIRTUAL,60607,41.88055011,-87.64977248,6,NEAR WEST SIDE,25
400039,ERIE,60622,41.90677064,-87.69436445,5,WEST TOWN,1
400040,FRAZIER CHARTER,60624,41.86207686,-87.71764198,5,NORTH LAWNDALE,24
400043,HOPE INSTITUTE,60612,41.88336203,-87.66807695,6,NEAR WEST SIDE,27
400044,KIPP - ASCEND,60623,41.85836974,-87.72107065,5,NORTH LAWNDALE,24
400045,NKRUMAH,60628,41.69804049,-87.63105815,13,ROSELAND,34
400046,LEARN - BUTLER,60624,41.86727271,-87.71067948,5,NORTH LAWNDALE,24
400047,LEARN - CAMPBELL,60612,41.87786063,-87.69873872,5,EAST GARFIELD PARK,27
400048,LEARN - EXCEL,60612,41.88731992,-87.70207089,5,EAST GARFIELD PARK,27
400049,LEGACY,60623,41.85696245,-87.70850768,5,NORTH LAWNDALE,24
400050,NAMASTE,60609,41.82569976,-87.66772404,8,MCKINLEY PARK,12
400051,NOBLE - NOBLE HS,60642,41.90019052,-87.66262778,6,WEST TOWN,2
400052,NOBLE - COMER,60619,41.76525228,-87.60416375,12,GREATER GRAND CROSSING,5
400053,NOBLE - GOLDER HS,60642,41.89528219,-87.664483,6,WEST TOWN,27
400054,NOBLE - PRITZKER HS,60639,41.91521411,-87.73012671,4,HERMOSA,35
400055,NOBLE - RAUNER HS,60642,41.89242501,-87.66085887,6,WEST TOWN,1
400056,NOBLE - ROWE CLARK HS,60651,41.89536226,-87.71804677,5,HUMBOLDT PARK,27
400057,NOBLE - UIC HS,60608,41.86581741,-87.67611093,6,NEAR WEST SIDE,28
400058,NORTH LAWNDALE - CHRISTIANA HS,60623,41.85856355,-87.70898711,5,NORTH LAWNDALE,24
