(Indicator name),,,,"Population (residents), 2017-2021","Population (residents), 2016-2020","Population, Infants (0-4 years) (residents), 2017-2021","Population, Infants (0-4 years) (residents), 2016-2020","Population, Juveniles (5-17 years) (residents), 2017-2021","Population, Juveniles (5-17 years) (residents), 2016-2020","Population, Non-Hispanic Black (residents), 2017-2021","Population, Non-Hispanic Black (residents), 2016-2020","Population, Hispanic or Latino (residents), 2017-2021","Population, Hispanic or Latino (residents), 2016-2020",,,"Low birthweight (count of births), 2013-2017","Low birthweight rate (% of births), 2013-2017","Very low birthweight (count of births), 2013-2017","Very low birthweight rate (% of births), 2013-2017","Uninsured residents (residents), 2017-2021","Uninsured rate (% of residents), 2017-2021","Early and adequate prenatal care (count of births), 2013-2017","Early and adequate prenatal care rate (% of births), 2013-2017","Vacant (% of housing units), 2017-2021","Single-parent households (% of households), 2017-2021","Community belonging rate (% of adults), 2016-2018","Community belonging (count of adults), 2016-2018","Community belonging (count of adults), 2020-2021","Community belonging rate (% of adults), 2020-2021","Food stamps (SNAP) (% of households), 2017-2021","Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2017-2021","Mean age at first birth (age), 2013-2017","Mean age at first birth (age), 2012-2016","Rent-burdened (% of renter-occupied housing units), 2017-2021","Severely rent-burdened (% of renter-occupied housing units), 2017-2021","Homicide mortality (count of deaths), 2015-2019","Homicide mortality rate (per 100,000 population), 2015-2019","Firearm-related homicide mortality (count of deaths), 2015-2019","Firearm-related homicide mortality rate (per 100,000 population), 2015-2019","Drug-induced mortality (count of deaths), 2015-2019","Drug-induced mortality rate (per 100,000 population), 2015-2019","Drug overdose mortality (count of deaths), 2015-2019","Drug overdose mortality rate (per 100,000 population), 2015-2019"
(Definition),,,,Average population over the time period.,Average population over the time period.,Average population over the time period.,Average population over the time period.,Average population over the time period.,Average population over the time period.,Average population over the time period.,Average population over the time period.,Average population over the time period.,Average population over the time period.,,,Number of births with birthweight less than 2500 grams (5.5 pounds).,Percent of births with a birthweight less than 2500 grams (5.5 pounds).,Number of births with a birthweight less than 1500 grams (3.25 pounds).,Percent of births with a birthweight less than 1500 grams (3.25 pounds).,Number of residents without health insurance.,Percent of residents without health insurance (at the time of the survey).,Number of births where mother received adequate prenatal care by the Adequacy of Prenatal Care Utilization Index (APNCU).,Percent of births where mother received adequate prenatal care by the Adequacy of Prenatal Care Utilization Index (APNCU).,,"Percentage of households that have children present and are headed by a single parent (mother or father), with no partner present.",Percent of adults who reported that they strongly agree or agree that they really feel part of their neighborhood.,Number of adults who reported that they strongly agree or agree that they really feel part of their neighborhood.,Number of adults who reported that they strongly agree or agree that they really feel part of their neighborhood.,Percent of adults who reported that they strongly agree or agree that they really feel part of their neighborhood.,"Percent of households receiving Supplemental Nutrition Assistance Program (SNAP) benefits, formerly known as food stamps, over the past 12 months.",Percent of households with income in the past 12 months below the poverty level who did not receive food stamps/SNAP in the past 12 months.,The arithmetic average of a mother's age at first birth (first child born alive).,The arithmetic average of a mother's age at first birth (first child born alive).,"Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Households spending more than 50% of income on rent are considered severely rent-burdened. Rent costs do not include utilities, insurance, or building fees.",Number of people who died due to homicide.,Age-adjusted rate of people who died due to homicide.,Number of people who died due to firearm-related homicide.,Age-adjusted rate of people who died due to firearm-related homicide.,"Number of people who died due to poisoning and medical conditions caused by use of legal or illegal drugs or deaths from poisoning due to medically prescribed and other drugs. It excludes unintentional injuries, homicides, and other causes indirectly related to drug use, as well as newborn deaths due to the mother’s drug use.",Age-adjusted rate of people who died due to poisoning and medical conditions caused by use of legal or illegal drugs or from poisoning due to medically prescribed and other drugs.,Number of people who died due to drug overdose.,Age-adjusted rate of people who died due to drug overdose.
(Citation),,,,American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),American Community Survey (ACS: Table B01001; Decennial Census: Table P012),,,"Illinois Department of Public Health, Birth Certificate Data Files","Illinois Department of Public Health, Birth Certificate Data Files","Illinois Department of Public Health, Birth Certificate Data Files","Illinois Department of Public Health, Birth Certificate Data Files",American Community Survey (Tables B27001/C27001),American Community Survey (Tables B27001/C27001),"Illinois Department of Public Health, Birth Certificate Data Files","Illinois Department of Public Health, Birth Certificate Data Files",American Community Survey (Table B25002),American Community Survey (Table B11012),"Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","American Community Survey (Tables B22003, B22005, and S2201)",American Community Survey (Table B22003),"Illinois Department of Public Health, Birth Certificate Data Files","Illinois Department of Public Health, Birth Certificate Data Files",American Community Survey (Table B25070),American Community Survey (Table B25070),"Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Layer,Name,GEOID,Population,POP_2017-2021,POP_2016-2020,POP-I_2017-2021,POP-I_2016-2020,POP-J_2017-2021,POP-J_2016-2020,POP-B_2017-2021,POP-B_2016-2020,POP-H_2017-2021,POP-H_2016-2020,Longitude,Latitude,VRBW_2013-2017,VRBWP_2013-2017,VRVLB_2013-2017,VRVLBP_2013-2017,UNI_2017-2021,UNS_2017-2021,VRPNC_2013-2017,VRPNCP_2013-2017,VAC_2017-2021,HTA_2017-2021,HCSCBP_2016-2018,HCSCB_2016-2018,HCSCB_2020-2021,HCSCBP_2020-2021,SNP_2017-2021,SNQ_2017-2021,VRMA_2013-2017,VRMA_2012-2016,RBU_2017-2021,RBS_2017-2021,VFHO_2015-2019,VRHOR_2015-2019,VRFI_2015-2019,VRFIR_2015-2019,VRDID_2015-2019,VRDIDR_2015-2019,VRDO_2015-2019,VRDOR_2015-2019
Community area,Fuller Park,37,2549," 2,280 "," 2,215 ", 76 , 86 , 341 , 324 ," 1,820 "," 1,918 ", 316 , 147 ,-87.632427,41.809082,35,19.4,5,2.8,77.95882315,3.490778093,78,51.3,27.61259685,10.00136857,44.5,2900,2500,17.74100418,61.62521589,15.70205139,23.529412,23.263158,51.00525428,28.49241409,12,88.7,12,88.7,12,77.1,12,77.1
Community area,Englewood,68,24322," 21,014 "," 21,973 "," 1,739 "," 2,234 "," 3,901 "," 3,760 "," 19,204 "," 20,235 ", 916 , 864 ,-87.642502,41.777201,390,16.9,80,3.5,2652.717578,12.14640825,1012,51.3,32.20668893,16.31514806,48.7,12800,9100,41.53205927,45.98452096,30.16735713,25.692308,26.615385,56.00648745,33.58541096,111,70.8,100,63.5,67,47.4,66,46.7
Community area,West Garfield Park,26,17423," 17,279 "," 16,480 "," 1,234 "," 1,215 "," 3,255 "," 3,093 "," 15,948 "," 15,226 ", 704 , 577 ,-87.730233,41.878602,242,16.2,57,3.8,1564.162642,8.98171784,707,52.9,23.80341917,16.53618673,51.7,7500,7700,36.79460041,50.76642495,23.27215021,25.961538,26.37037,63.353805,38.48531222,70,71.7,63,63.8,70,79.8,70,79.8
Community area,Greater Grand Crossing,69,31543," 29,381 "," 29,493 "," 1,981 "," 1,851 "," 5,654 "," 5,440 "," 27,824 "," 28,191 ", 661 , 591 ,-87.616139,41.763251,397,15.6,88,3.5,2447.447176,8.474873625,1155,54.8,22.31801302,22.35315262,54.6,10900,9000,40.26251336,42.5334889,26.75947377,27.714286,27.206897,53.65557404,36.1428875,100,65.1,93,60.9,72,43.9,68,41.6
Community area,Auburn Gresham,71,44959," 48,110 "," 46,778 "," 3,420 "," 2,969 "," 8,454 "," 8,501 "," 45,318 "," 44,225 "," 1,723 "," 1,399 ",-87.656305,41.744203,465,15.4,106,3.5,3866.321103,7.978832864,1542,58.5,15.90060277,15.40125377,59.3,18100,12800,41.07697162,36.9358032,37.67461067,27,27,51.71566932,30.13485416,131,57.5,118,51.9,90,32.9,89,32.6
Community area,East Garfield Park,27,19995," 19,911 "," 18,084 "," 1,514 "," 1,394 "," 4,135 "," 3,579 "," 17,062 "," 15,341 ", 976 , 872 ,-87.705892,41.878923,253,15.3,45,2.7,1949.778409,9.745644204,829,56.4,16.32313839,20.87942723,52.8,6500,3800,29.22524695,49.53437577,28.84534391,27.571429,28.034483,57.91668284,39.54054814,94,80.8,84,71.3,87,86.7,85,84.7
