Early College and Career Credentials (ECCC) SY2022 Metric,,,,,,,,,,,
School ID,School Name,Network,N Graduates,% Students Earning Any ECCC,AP Exam %,IB Exam %,CTE %,Dual Credit %,Dual Enrollment %,JROTC %,Seal of Biliteracy %
400013,ASPIRA - EARLY COLLEGE HS,Charter,77,45.5,42.9,.0,.0,5.2,.0,.0,5.2
400022,CHIARTS HS,Contract,133,36.1,33.8,.0,.0,.0,1.5,.0,11.3
400032,CICS - ELLISON HS,Charter,41,2.4,.0,.0,.0,2.4,.0,.0,.0
400033,CICS - LONGWOOD,Charter,78,5.1,.0,.0,.0,2.6,3.8,.0,.0
400034,CICS - NORTHTOWN HS,Charter,218,38.5,15.1,.0,.0,28.9,10.6,.0,6.0
400035,CHICAGO MATH & SCIENCE HS,Charter,82,50.0,32.9,.0,1.2,28.0,7.3,.0,11.0
400051,NOBLE - NOBLE HS,Charter,155,40.6,36.8,.0,.0,.0,1.3,.0,18.7
400052,NOBLE - COMER,Charter,190,11.1,1.6,.0,.0,9.5,1.6,.0,.0
400053,NOBLE - GOLDER HS,Charter,160,26.3,21.9,.0,.0,.0,.6,.0,13.1
400054,NOBLE - PRITZKER HS,Charter,213,26.3,22.5,.0,.5,.0,.0,.0,13.6
400055,NOBLE - RAUNER HS,Charter,128,32.0,28.1,.0,.0,.0,4.7,.0,11.7
400056,NOBLE - ROWE CLARK HS,Charter,96,85.4,3.1,.0,.0,81.3,21.9,.0,2.1
400057,NOBLE - UIC HS,Charter,237,33.3,28.7,.0,.0,.4,8.0,.0,12.2
400058,NLCP - CHRISTIANA HS,Charter,78,.0,.0,.0,.0,.0,.0,.0,.0
400059,NLCP - COLLINS HS,Charter,98,1.0,.0,.0,.0,1.0,.0,.0,.0
400061,PERSPECTIVES - LEADERSHIP HS,Charter,63,41.3,.0,.0,.0,41.3,1.6,.0,.0
400062,PERSPECTIVES - TECH HS,Charter,68,33.8,1.5,.0,.0,33.8,2.9,.0,.0
400064,PERSPECTIVES - JOSLIN HS,Charter,66,25.8,1.5,.0,.0,25.8,1.5,.0,.0
400066,PERSPECTIVES - MATH & SCI HS,Charter,103,22.3,.0,.0,1.0,21.4,.0,.0,.0
400077,U OF C - WOODLAWN HS,Charter,92,38.0,7.6,.0,.0,25.0,14.1,.0,.0
400085,ACERO - GARCIA HS,Charter,137,20.4,18.2,.0,.0,.0,.7,.0,9.5
400086,URBAN PREP - ENGLEWOOD HS,Charter,56,50.0,.0,.0,1.8,46.4,3.6,.0,.0
400091,CHICAGO TECH HS,Contract,86,11.6,.0,.0,.0,11.6,.0,.0,.0
400094,EPIC HS,Charter,107,15.0,12.1,.0,.0,.0,3.7,.0,3.7
400097,NOBLE - BULLS HS,Charter,241,10.4,9.1,.0,.0,.0,.0,.0,4.1
400098,NOBLE - MUCHIN HS,Charter,251,36.7,18.3,.0,.0,16.3,10.0,.0,13.1
400104,INSTITUTO - HEALTH,Charter,154,47.4,22.7,.0,.0,38.3,1.9,.0,9.1
400105,URBAN PREP - BRONZEVILLE HS,Charter,80,13.8,.0,.0,.0,7.5,7.5,.0,.0
400106,NOBLE - JOHNSON HS,Charter,149,4.0,.7,.0,.0,2.0,2.7,.0,.0
400117,NOBLE - HANSBERRY HS,Charter,115,7.0,.0,5.2,.0,.0,1.7,.0,.0
400118,NOBLE - DRW HS,Charter,69,14.5,.0,.0,.0,14.5,.0,.0,.0
