,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Other Plan Specified,# With Plan Type Not Specified
District,2020,609674,CHICAGO VOCATIONAL HS,Network 17,159,94.3%,0.0%,5.7%,150,0,9,0,2,58,39,22,0,0,1,28,0
District,2020,609676,DUNBAR HS,Network 17,77,100.0%,0.0%,0.0%,77,0,0,1,0,30,31,9,0,2,0,4,0
District,2020,609678,JONES HS,ISP,467,89.9%,8.4%,1.7%,420,39,8,0,1,17,368,0,1,1,2,20,10
District,2020,609679,PROSSER HS,Network 15,305,99.0%,0.0%,1.0%,302,0,3,6,4,97,162,11,0,0,6,13,3
District,2020,609680,PAYTON HS,ISP,287,95.8%,0.3%,3.8%,275,1,11,0,0,4,268,0,0,0,1,2,0
District,2020,609682,RICHARDS HS,Network 16,48,100.0%,0.0%,0.0%,48,0,0,1,1,29,10,2,0,0,1,4,0
District,2020,609691,NORTH-GRAND HS,Network 15,200,98.5%,0.0%,1.5%,197,0,3,0,6,74,79,14,1,1,3,19,0
District,2020,609692,SIMEON HS,Network 17,259,98.5%,0.0%,1.5%,255,0,4,6,3,88,102,21,0,4,4,18,9
District,2020,609693,WESTINGHOUSE HS,Network 15,300,95.7%,0.0%,4.3%,287,0,13,0,0,37,202,1,0,0,1,27,19
District,2020,609694,HANCOCK HS,Network 15,225,99.1%,0.0%,0.9%,223,0,2,4,2,43,161,5,0,0,4,4,0
District,2020,609695,AMUNDSEN HS,ISP,264,97.7%,0.0%,2.3%,258,0,6,0,2,88,148,7,1,0,3,6,3
District,2020,609698,BOGAN HS,Network 16,164,98.8%,0.0%,1.2%,162,0,2,1,1,74,68,1,0,0,0,10,7
District,2020,609704,FARRAGUT HS,Network 16,142,96.5%,1.4%,2.1%,137,2,3,0,1,72,27,8,0,1,2,25,1
District,2020,609705,FENGER HS,Network 17,58,98.3%,0.0%,1.7%,57,0,1,1,5,23,24,0,1,2,0,0,1
District,2020,609708,FOREMAN HS,Network 14,180,95.6%,0.0%,4.4%,172,0,8,0,1,100,37,9,0,3,2,19,1
District,2020,609709,GAGE PARK HS,Network 16,52,98.1%,0.0%,1.9%,51,0,1,0,2,27,6,0,0,15,0,1,0
District,2020,609710,HARLAN HS,Network 17,74,95.9%,0.0%,4.1%,71,0,3,1,1,36,19,8,0,4,1,1,0
District,2020,609711,HARPER HS,Network 16,25,100.0%,0.0%,0.0%,25,0,0,0,0,9,10,6,0,0,0,0,0
District,2020,609712,HIRSCH HS,Network 17,14,100.0%,0.0%,0.0%,14,0,0,0,0,11,1,0,0,0,0,2,0
District,2020,609713,HYDE PARK HS,Network 17,133,97.0%,0.0%,3.0%,129,0,4,0,0,45,68,5,0,5,0,6,0
District,2020,609715,KELLY HS,Network 16,386,97.9%,1.0%,1.0%,378,4,4,2,3,192,137,30,0,0,2,12,0
District,2020,609716,KELVYN PARK HS,Network 14,60,100.0%,0.0%,0.0%,60,0,0,0,0,29,19,5,0,0,1,6,0
District,2020,609718,KENNEDY HS,Network 16,375,98.7%,0.0%,1.3%,370,0,5,3,5,133,164,22,0,8,10,23,2
District,2020,609719,LAKE VIEW HS,Network 14,324,97.5%,1.2%,1.2%,316,4,4,0,3,142,128,19,0,2,10,12,0
District,2020,609720,LANE TECH HS,Network 14,925,99.2%,0.0%,0.8%,918,0,7,2,2,93,719,13,2,0,4,36,47
District,2020,609722,MANLEY HS,Network 15,17,100.0%,0.0%,0.0%,17,0,0,0,0,3,4,6,0,4,0,0,0
District,2020,609723,MARSHALL HS,Network 15,61,95.1%,0.0%,4.9%,58,0,3,0,1,22,22,9,0,0,1,3,0
District,2020,609724,MATHER HS,Network 14,304,98.7%,0.3%,1.0%,300,1,3,0,3,113,143,19,3,1,4,12,2
District,2020,609725,MORGAN PARK HS,Network 16,271,96.7%,0.0%,3.3%,262,0,9,3,4,77,140,25,0,3,3,6,1
District,2020,609726,BROOKS HS,Network 17,228,97.8%,0.0%,2.2%,223,0,5,2,3,17,171,5,0,1,4,19,1
District,2020,609727,PHILLIPS HS,AUSL,137,95.6%,0.0%,4.4%,131,0,6,0,0,40,70,18,0,0,3,0,0
District,2020,609728,ROOSEVELT HS,Network 14,206,97.6%,0.0%,2.4%,201,0,5,0,1,119,48,10,0,2,6,13,2
District,2020,609729,SCHURZ HS,Network 14,349,98.3%,0.0%,1.7%,343,0,6,1,0,162,87,23,0,1,4,63,2
District,2020,609730,SENN HS,Network 14,342,96.2%,0.0%,3.8%,329,0,13,0,2,96,192,23,0,4,2,8,2
District,2020,609732,STEINMETZ HS,Network 14,280,99.6%,0.0%,0.4%,279,0,1,0,6,128,105,29,1,0,5,4,1
District,2020,609733,SULLIVAN HS,Network 14,201,98.0%,0.0%,2.0%,197,0,4,0,0,74,69,3,1,10,1,39,0
District,2020,609734,TAFT HS,Network 14,740,97.2%,0.0%,2.8%,719,0,21,3,4,257,344,39,1,3,15,49,4
District,2020,609735,TILDEN HS,Network 16,44,97.7%,2.3%,0.0%,43,1,0,0,0,15,12,6,0,0,0,9,1
District,2020,609737,VON STEUBEN HS,Network 14,447,99.3%,0.0%,0.7%,444,0,3,0,5,131,275,9,0,1,6,16,1
District,2020,609738,LINCOLN PARK HS,Network 14,496,98.0%,0.8%,1.2%,486,4,6,1,0,73,362,14,1,4,7,22,2
District,2020,609739,WASHINGTON HS,Network 17,305,96.4%,0.0%,3.6%,294,0,11,1,1,99,147,30,0,0,2,14,0
