,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Other Plan Specified,# With Plan Type Not Specified
Charter,2020,400013,ASPIRA - EARLY COLLEGE HS,Charter,85,74.1%,0.0%,25.9%,63,0,22,0,2,29,27,2,0,0,1,2,0
Contract,2020,400022,CHIARTS HS,Contract,143,0.0%,0.0%,100.0%,0,0,143,0,0,0,0,0,0,0,0,0,0
Charter,2020,400032,CICS - ELLISON HS,Charter,72,90.3%,2.8%,6.9%,65,2,5,0,1,17,43,1,0,2,1,0,0
Charter,2020,400033,CICS - LONGWOOD,Charter,99,96.0%,0.0%,4.0%,95,0,4,0,2,35,44,5,0,1,5,0,3
Charter,2020,400034,CICS - NORTHTOWN HS,Charter,207,98.1%,0.0%,1.9%,203,0,4,0,0,60,128,12,0,1,1,1,0
Charter,2020,400035,CHICAGO MATH & SCIENCE HS,Charter,73,94.5%,0.0%,5.5%,69,0,4,1,3,19,39,4,0,1,1,1,0
Charter,2020,400036,CHICAGO VIRTUAL,Charter,55,23.6%,0.0%,76.4%,13,0,42,0,0,3,5,2,1,1,0,1,0
Charter,2020,400051,NOBLE - NOBLE HS,Charter,166,0.6%,0.0%,99.4%,1,0,165,0,0,0,0,0,0,0,0,0,1
Charter,2020,400052,NOBLE - COMER,Charter,184,0.5%,0.0%,99.5%,1,0,183,0,0,0,0,1,0,0,0,0,0
Charter,2020,400053,NOBLE - GOLDER HS,Charter,137,0.7%,0.0%,99.3%,1,0,136,0,0,1,0,0,0,0,0,0,0
Charter,2020,400054,NOBLE - PRITZKER HS,Charter,246,0.4%,0.0%,99.6%,1,0,245,0,0,0,0,1,0,0,0,0,0
Charter,2020,400055,NOBLE - RAUNER HS,Charter,139,0.0%,0.0%,100.0%,0,0,139,0,0,0,0,0,0,0,0,0,0
Charter,2020,400056,NOBLE - ROWE CLARK HS,Charter,88,1.1%,0.0%,98.9%,1,0,87,0,0,1,0,0,0,0,0,0,0
Charter,2020,400057,NOBLE - UIC HS,Charter,212,0.5%,0.0%,99.5%,1,0,211,0,0,0,1,0,0,0,0,0,0
Charter,2020,400058,NORTH LAWNDALE - CHRISTIANA HS,Charter,75,72.0%,0.0%,28.0%,54,0,21,0,0,8,46,0,0,0,0,0,0
Charter,2020,400059,NORTH LAWNDALE - COLLINS HS,Charter,77,89.6%,0.0%,10.4%,69,0,8,0,0,16,46,5,0,2,0,0,0
Charter,2020,400061,PERSPECTIVES - LEADERSHIP HS,Charter,58,100.0%,0.0%,0.0%,58,0,0,0,2,22,26,0,1,0,0,7,0
Charter,2020,400062,PERSPECTIVES - TECH HS,Charter,70,98.6%,0.0%,1.4%,69,0,1,0,8,15,33,11,0,0,1,1,0
Charter,2020,400064,PERSPECTIVES - JOSLIN HS,Charter,53,96.2%,0.0%,3.8%,51,0,2,0,1,9,34,0,0,0,4,3,0
Charter,2020,400066,PERSPECTIVES - MATH & SCI HS,Charter,112,96.4%,0.0%,3.6%,108,0,4,2,0,26,64,15,0,1,0,0,0
Charter,2020,400077,U OF C - WOODLAWN HS,Charter,83,68.7%,0.0%,31.3%,57,0,26,0,0,16,41,0,0,0,0,0,0
Charter,2020,400085,ACERO - GARCIA HS,Charter,159,98.7%,0.0%,1.3%,157,0,2,0,3,83,44,23,0,0,3,1,0
Charter,2020,400086,URBAN PREP - ENGLEWOOD HS,Charter,48,87.5%,0.0%,12.5%,42,0,6,0,0,1,39,2,0,0,0,0,0
Contract,2020,400091,CHICAGO TECH HS,Contract,45,100.0%,0.0%,0.0%,45,0,0,0,2,9,18,0,1,14,0,0,1
Charter,2020,400094,EPIC HS,Charter,99,84.8%,0.0%,15.2%,84,0,15,0,1,19,52,10,0,1,1,0,0
Charter,2020,400097,NOBLE - BULLS HS,Charter,236,0.8%,0.0%,99.2%,2,0,234,0,0,1,0,0,0,0,0,0,1
Charter,2020,400098,NOBLE - MUCHIN HS,Charter,229,0.0%,0.0%,100.0%,0,0,229,0,0,0,0,0,0,0,0,0,0
Charter,2020,400104,INSTITUTO - HEALTH,Charter,146,0.0%,0.0%,100.0%,0,0,146,0,0,0,0,0,0,0,0,0,0
Charter,2020,400105,URBAN PREP - BRONZEVILLE HS,Charter,50,100.0%,0.0%,0.0%,50,0,0,0,0,3,45,0,0,0,1,1,0
Charter,2020,400106,NOBLE - JOHNSON HS,Charter,149,0.7%,0.0%,99.3%,1,0,148,0,0,0,0,0,0,0,0,1,0
Charter,2020,400113,CICS - CHICAGOQUEST HS,Charter,57,91.2%,0.0%,8.8%,52,0,5,0,1,18,30,0,0,0,2,0,1
Charter,2020,400115,CATALYST - MARIA,Charter,101,90.1%,0.0%,9.9%,91,0,10,1,2,29,51,3,1,1,3,0,0
Charter,2020,400117,NOBLE - HANSBERRY HS,Charter,105,0.0%,0.0%,100.0%,0,0,105,0,0,0,0,0,0,0,0,0,0
Charter,2020,400118,NOBLE - DRW HS,Charter,81,0.0%,0.0%,100.0%,0,0,81,0,0,0,0,0,0,0,0,0,0
Charter,2020,400119,LEGAL PREP HS,Charter,75,84.0%,0.0%,16.0%,63,0,12,0,0,33,28,1,0,0,1,0,0
Charter,2020,400121,ACERO - DE LA CRUZ,Charter,26,88.5%,0.0%,11.5%,23,0,3,1,0,11,9,2,0,0,0,0,0
Charter,2020,400123,YCCS - SCHOLASTIC ACHIEVEMENT,Options,65,69.2%,0.0%,30.8%,45,0,20,0,1,23,1,9,0,11,0,0,0
Charter,2020,400124,YCCS - MCKINLEY,Options,76,82.9%,0.0%,17.1%,63,0,13,0,0,58,2,0,0,0,0,1,2
Charter,2020,400125,YCCS - ASPIRA PANTOJA,Options,93,73.1%,0.0%,26.9%,68,0,25,10,0,51,1,6,0,0,0,0,0
Charter,2020,400126,YCCS - ASSOCIATION HOUSE,Options,55,21.8%,0.0%,78.2%,12,0,43,0,0,0,0,0,0,0,0,0,12
Charter,2020,400127,YCCS - AUSTIN CAREER,Options,47,0.0%,0.0%,100.0%,0,0,47,0,0,0,0,0,0,0,0,0,0
Charter,2020,400128,YCCS - CCA ACADEMY,Options,58,91.4%,0.0%,8.6%,53,0,5,0,0,38,0,15,0,0,0,0,0
Charter,2020,400129,YCCS - PROGRESSIVE LEADERSHIP,Options,101,72.3%,0.0%,27.7%,73,0,28,0,0,16,26,19,2,3,3,1,3
