,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Business Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Transition Program Plan,# With Continue High School Plan
District,2021,609674,CHICAGO VOCATIONAL HS,Network 17,177,96.6%,0.0%,3.4%,171,0,6,0,6,41,53,39,2,0,2,2,5,21
District,2021,609676,DUNBAR HS,Network 17,68,95.6%,0.0%,4.4%,65,0,3,0,0,26,29,3,1,0,0,0,2,4
District,2021,609678,JONES HS,ISP,476,97.1%,0.4%,2.5%,462,2,12,0,0,27,409,7,0,3,1,0,6,9
District,2021,609679,PROSSER HS,Network 15,340,99.4%,0.0%,0.6%,338,0,2,0,9,142,123,40,0,0,1,2,3,18
District,2021,609680,PAYTON HS,Network 15,327,99.4%,0.6%,0.0%,325,2,0,0,1,7,299,8,1,3,0,0,2,4
District,2021,609682,RICHARDS HS,Network 16,45,95.6%,2.2%,2.2%,43,1,1,0,0,16,11,14,0,0,0,2,0,0
District,2021,609691,NORTH-GRAND HS,Network 15,223,99.6%,0.0%,0.4%,222,0,1,0,3,68,96,23,0,0,0,2,2,28
District,2021,609692,SIMEON HS,Network 17,338,99.1%,0.0%,0.9%,335,0,3,0,8,98,167,28,6,1,0,3,13,11
District,2021,609693,WESTINGHOUSE HS,Network 15,334,97.9%,0.0%,2.1%,327,0,7,1,0,45,233,10,1,0,1,3,9,24
District,2021,609694,HANCOCK HS,Network 15,267,98.5%,0.0%,1.5%,263,0,4,0,3,57,179,21,0,0,0,3,0,0
District,2021,609695,AMUNDSEN HS,ISP,266,96.2%,0.0%,3.8%,256,0,10,2,2,100,126,13,0,1,0,5,7,0
District,2021,609698,BOGAN HS,Network 16,174,94.3%,0.0%,5.7%,164,0,10,2,5,64,57,22,0,2,2,0,6,4
District,2021,609704,FARRAGUT HS,Network 16,109,94.5%,0.0%,5.5%,103,0,6,1,2,49,26,19,0,1,0,1,1,3
District,2021,609705,FENGER HS,Network 17,67,94.0%,0.0%,6.0%,63,0,4,0,7,11,32,13,0,0,0,0,0,0
District,2021,609708,FOREMAN HS,Network 14,151,98.7%,0.0%,1.3%,149,0,2,0,1,65,29,35,0,0,2,0,1,16
District,2021,609709,GAGE PARK HS,Network 16,86,100.0%,0.0%,0.0%,86,0,0,0,3,34,13,35,0,0,1,0,0,0
District,2021,609710,HARLAN HS,Network 17,61,90.2%,0.0%,9.8%,55,0,6,0,1,11,25,14,0,0,0,0,0,4
District,2021,609711,HARPER HS,Network 16,20,95.0%,0.0%,5.0%,19,0,1,0,0,12,2,4,0,0,0,1,0,0
District,2021,609712,HIRSCH HS,Network 17,18,94.4%,0.0%,5.6%,17,0,1,0,0,7,5,5,0,0,0,0,0,0
District,2021,609713,HYDE PARK HS,Network 17,148,93.9%,0.0%,6.1%,139,0,9,0,2,50,64,14,0,0,1,0,3,5
District,2021,609715,KELLY HS,Network 16,348,98.9%,0.0%,1.1%,344,0,4,0,4,153,139,20,0,0,4,1,4,19
District,2021,609716,KELVYN PARK HS,Network 14,52,96.2%,0.0%,3.8%,50,0,2,1,0,28,11,3,0,0,0,1,0,6
District,2021,609718,KENNEDY HS,Network 16,385,95.8%,0.0%,4.2%,369,0,16,0,10,160,146,18,0,0,0,6,2,27
District,2021,609719,LAKE VIEW HS,Network 14,325,99.4%,0.0%,0.6%,323,0,2,0,4,141,133,29,2,0,2,3,4,5
District,2021,609720,LANE TECH HS,Network 14,"1,108",99.1%,0.0%,0.9%,"1,098",0,10,0,9,99,922,26,1,4,0,2,2,33
District,2021,609722,MANLEY HS,Network 15,14,85.7%,0.0%,14.3%,12,0,2,0,1,7,1,1,0,0,2,0,0,0
District,2021,609723,MARSHALL HS,Network 15,49,87.8%,0.0%,12.2%,43,0,6,0,0,13,16,7,0,0,7,0,0,0
District,2021,609724,MATHER HS,Network 14,271,97.8%,0.0%,2.2%,265,0,6,0,2,96,115,27,1,0,2,2,0,20
District,2021,609725,MORGAN PARK HS,Network 16,230,94.8%,0.0%,5.2%,218,0,12,1,6,48,111,33,0,0,4,1,14,0
