,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Business Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Transition Program Plan,# With Continue High School Plan
Charter,2021,400013,ASPIRA - EARLY COLLEGE HS,Charter,56,100.0%,0.0%,0.0%,56,0,0,0,1,24,20,3,0,0,0,0,0,8
Contract,2021,400022,CHIARTS HS,Contract,134,84.3%,0.0%,15.7%,113,0,21,0,1,14,85,8,2,0,0,1,0,2
Charter,2021,400032,CICS - ELLISON HS,Charter,69,89.9%,0.0%,10.1%,62,0,7,0,4,15,30,9,2,0,0,2,0,0
Charter,2021,400033,CICS - LONGWOOD,Charter,97,84.5%,0.0%,15.5%,82,0,15,0,5,11,47,7,5,0,1,5,0,1
Charter,2021,400034,CICS - NORTHTOWN HS,Charter,225,99.6%,0.0%,0.4%,224,0,1,0,3,44,135,34,0,2,3,2,1,0
Charter,2021,400035,CHICAGO MATH & SCIENCE HS,Charter,86,97.7%,0.0%,2.3%,84,0,2,0,2,33,49,0,0,0,0,0,0,0
Charter,2021,400051,NOBLE - NOBLE HS,Charter,168,0.0%,0.0%,100.0%,0,0,168,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400052,NOBLE - COMER,Charter,195,0.0%,0.0%,100.0%,0,0,195,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400053,NOBLE - GOLDER HS,Charter,157,1.3%,0.0%,98.7%,2,0,155,0,0,0,0,2,0,0,0,0,0,0
Charter,2021,400054,NOBLE - PRITZKER HS,Charter,220,0.9%,0.0%,99.1%,2,0,218,0,0,1,1,0,0,0,0,0,0,0
Charter,2021,400055,NOBLE - RAUNER HS,Charter,178,0.0%,0.0%,100.0%,0,0,178,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400056,NOBLE - ROWE CLARK HS,Charter,101,100.0%,0.0%,0.0%,101,0,0,0,6,11,51,26,0,0,6,1,0,0
Charter,2021,400057,NOBLE - UIC HS,Charter,215,47.4%,0.0%,52.6%,102,0,113,1,1,16,79,2,0,0,2,1,0,0
Charter,2021,400058,NLCP - CHRISTIANA HS,Charter,84,94.0%,0.0%,6.0%,79,0,5,0,1,22,52,4,0,0,0,0,0,0
Charter,2021,400059,NLCP - COLLINS HS,Charter,88,84.1%,0.0%,15.9%,74,0,14,0,3,25,41,4,0,0,1,0,0,0
Charter,2021,400061,PERSPECTIVES - LEADERSHIP HS,Charter,62,88.7%,0.0%,11.3%,55,0,7,0,6,9,28,12,0,0,0,0,0,0
Charter,2021,400062,PERSPECTIVES - TECH HS,Charter,94,95.7%,0.0%,4.3%,90,0,4,0,14,14,47,13,0,0,1,0,1,0
Charter,2021,400064,PERSPECTIVES - JOSLIN HS,Charter,81,98.8%,0.0%,1.2%,80,0,1,0,0,15,55,9,0,0,0,1,0,0
Charter,2021,400066,PERSPECTIVES - MATH & SCI HS,Charter,100,94.0%,0.0%,6.0%,94,0,6,0,0,2,45,29,0,0,1,2,1,14
Charter,2021,400077,U OF C - WOODLAWN HS,Charter,92,92.4%,0.0%,7.6%,85,0,7,0,1,15,65,2,0,0,2,0,0,0
Charter,2021,400085,ACERO - GARCIA HS,Charter,129,96.1%,0.0%,3.9%,124,0,5,0,5,80,36,2,0,0,0,1,0,0
Charter,2021,400086,URBAN PREP - ENGLEWOOD HS,Charter,48,93.8%,0.0%,6.3%,45,0,3,0,1,2,42,0,0,0,0,0,0,0
Contract,2021,400091,CHICAGO TECH HS,Contract,59,100.0%,0.0%,0.0%,59,0,0,2,9,21,19,2,0,1,5,0,0,0
Charter,2021,400094,EPIC HS,Charter,117,79.5%,0.0%,20.5%,93,0,24,0,3,27,43,13,1,1,2,3,0,0
Charter,2021,400097,NOBLE - BULLS HS,Charter,248,0.0%,0.0%,100.0%,0,0,248,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400098,NOBLE - MUCHIN HS,Charter,216,0.5%,0.0%,99.5%,1,0,215,0,0,0,1,0,0,0,0,0,0,0
Charter,2021,400104,INSTITUTO - HEALTH,Charter,179,60.3%,0.0%,39.7%,108,0,71,3,8,46,27,21,0,0,2,1,0,0
Charter,2021,400105,URBAN PREP - BRONZEVILLE HS,Charter,56,98.2%,0.0%,1.8%,55,0,1,0,0,0,55,0,0,0,0,0,0,0
Charter,2021,400106,NOBLE - JOHNSON HS,Charter,159,0.0%,0.0%,100.0%,0,0,159,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400113,CICS - CHICAGOQUEST HS,Charter,30,90.0%,0.0%,10.0%,27,0,3,0,4,13,9,0,0,0,0,1,0,0
Charter,2021,400115,CATALYST - MARIA,Charter,100,89.0%,0.0%,11.0%,89,0,11,0,0,35,51,2,0,0,0,1,0,0
Charter,2021,400117,NOBLE - HANSBERRY HS,Charter,141,0.0%,0.0%,100.0%,0,0,141,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400118,NOBLE - DRW HS,Charter,72,0.0%,0.0%,100.0%,0,0,72,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400119,LEGAL PREP HS,Charter,49,73.5%,0.0%,26.5%,36,0,13,0,1,12,17,6,0,0,0,0,0,0
Charter,2021,400121,ACERO - DE LA CRUZ,Charter,39,94.9%,0.0%,5.1%,37,0,2,0,5,11,13,7,0,0,1,0,0,0
