,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Business Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Transition Program Plan,# With Continue High School Plan,# With Specialty High School Plan
District,2022,609674,CHICAGO VOCATIONAL HS,Network 17,193,97.9%,0.0%,2.1%,189,0,4,0,2,68,63,40,0,0,0,1,5,10,0
District,2022,609676,DUNBAR HS,Network 17,63,96.8%,0.0%,3.2%,61,0,2,0,0,15,31,11,0,2,0,1,0,0,1
District,2022,609678,JONES HS,ISP,503,96.6%,0.8%,2.6%,486,4,13,1,3,29,434,8,0,2,0,2,5,2,0
District,2022,609679,PROSSER HS,Network 15,236,98.7%,0.4%,0.8%,233,1,2,0,4,94,103,18,0,0,0,1,10,3,0
District,2022,609680,PAYTON HS,Network 15,310,99.0%,0.3%,0.6%,307,1,2,0,2,7,290,2,0,1,0,0,0,5,0
District,2022,609682,RICHARDS HS,Network 16,42,97.6%,0.0%,2.4%,41,0,1,0,2,21,10,6,0,0,1,0,1,0,0
District,2022,609691,NORTH-GRAND HS,Network 15,263,97.7%,0.0%,2.3%,257,0,6,1,2,103,102,21,0,1,0,0,2,25,0
District,2022,609692,SIMEON HS,Network 17,314,96.2%,0.0%,3.8%,302,0,12,2,8,57,173,45,2,0,0,2,10,3,0
District,2022,609693,WESTINGHOUSE HS,Network 15,292,99.7%,0.0%,0.3%,291,0,1,1,1,26,224,9,0,1,0,2,4,23,0
District,2022,609694,HANCOCK HS,Network 15,248,99.2%,0.0%,0.8%,246,0,2,0,4,72,161,6,0,0,0,1,1,1,0
District,2022,609695,AMUNDSEN HS,ISP,325,98.2%,0.0%,1.8%,319,0,6,0,3,133,159,14,0,1,0,0,9,0,0
District,2022,609698,BOGAN HS,Network 16,175,92.6%,0.0%,7.4%,162,0,13,0,2,51,64,17,0,0,18,3,3,1,3
District,2022,609704,FARRAGUT HS,Network 16,125,95.2%,0.0%,4.8%,119,0,6,0,10,40,53,6,0,0,0,1,8,1,0
District,2022,609705,FENGER HS,Network 17,43,97.7%,0.0%,2.3%,42,0,1,0,3,14,25,0,0,0,0,0,0,0,0
District,2022,609708,FOREMAN HS,Network 14,120,98.3%,0.0%,1.7%,118,0,2,0,2,56,27,18,1,0,0,1,6,6,1
District,2022,609709,GAGE PARK HS,Network 16,71,97.2%,0.0%,2.8%,69,0,2,0,0,38,24,4,0,0,2,1,0,0,0
District,2022,609710,HARLAN HS,Network 17,73,97.3%,0.0%,2.7%,71,0,2,1,1,30,21,15,0,1,0,1,1,0,0
District,2022,609712,HIRSCH HS,Network 17,17,82.4%,0.0%,17.6%,14,0,3,0,1,8,1,2,0,0,2,0,0,0,0
District,2022,609713,HYDE PARK HS,Network 17,157,96.8%,0.0%,3.2%,152,0,5,0,3,52,50,22,0,1,18,3,3,0,0
District,2022,609715,KELLY HS,Network 16,383,98.2%,0.0%,1.8%,376,0,7,3,7,147,175,25,0,0,2,4,10,3,0
District,2022,609716,KELVYN PARK HS,Network 14,69,97.1%,0.0%,2.9%,67,0,2,0,1,39,8,9,0,0,0,1,1,8,0
District,2022,609718,KENNEDY HS,Network 16,340,97.1%,0.0%,2.9%,330,0,10,1,9,137,127,30,0,0,0,4,3,15,4
District,2022,609719,LAKE VIEW HS,Network 14,314,97.5%,0.0%,2.5%,306,0,8,1,7,112,143,34,0,1,2,1,0,5,0
District,2022,609720,LANE TECH HS,Network 14,"1,079",99.7%,0.0%,0.3%,"1,076",0,3,0,5,105,908,14,1,1,0,1,5,36,0
District,2022,609722,MANLEY HS,Network 15,12,91.7%,0.0%,8.3%,11,0,1,0,2,2,1,5,0,0,0,0,0,1,0
District,2022,609723,MARSHALL HS,Network 15,57,98.2%,0.0%,1.8%,56,0,1,0,0,24,20,12,0,0,0,0,0,0,0
District,2022,609724,MATHER HS,Network 14,372,97.6%,0.3%,2.2%,363,1,8,0,17,114,191,22,0,0,3,1,0,15,0
District,2022,609725,MORGAN PARK HS,Network 16,219,96.8%,0.0%,3.2%,212,0,7,0,6,58,131,7,0,0,0,6,0,0,4
District,2022,609726,BROOKS HS,ISP,216,95.4%,0.0%,4.6%,206,0,10,1,7,24,161,6,1,0,2,0,0,1,3
District,2022,609727,PHILLIPS HS,AUSL,133,96.2%,0.0%,3.8%,128,0,5,0,6,36,74,12,0,0,0,0,0,0,0
District,2022,609728,ROOSEVELT HS,Network 14,199,97.0%,0.0%,3.0%,193,0,6,1,1,114,38,25,0,1,7,0,3,3,0
District,2022,609729,SCHURZ HS,Network 14,327,96.9%,0.0%,3.1%,317,0,10,0,5,121,109,35,0,0,3,4,20,20,0
District,2022,609730,SENN HS,Network 14,323,98.5%,0.0%,1.5%,318,0,5,0,2,95,193,18,0,0,0,2,2,6,0
District,2022,609732,STEINMETZ HS,Network 14,287,97.6%,0.0%,2.4%,280,0,7,0,0,76,76,113,0,0,7,7,1,0,0
District,2022,609733,SULLIVAN HS,Network 14,152,97.4%,0.7%,2.0%,148,1,3,0,1,60,36,16,0,0,1,0,2,32,0
District,2022,609734,TAFT HS,Network 14,822,98.8%,0.0%,1.2%,812,0,10,4,22,268,410,79,2,0,1,10,4,12,0
District,2022,609735,TILDEN HS,Network 16,48,100.0%,0.0%,0.0%,48,0,0,0,6,18,10,7,0,0,0,0,5,2,0
District,2022,609737,VON STEUBEN HS,Network 14,427,99.5%,0.0%,0.5%,425,0,2,0,8,112,264,17,2,0,1,1,3,17,0
District,2022,609738,LINCOLN PARK HS,Network 14,513,99.2%,0.2%,0.6%,509,1,3,1,3,82,390,12,0,2,0,1,0,18,0
District,2022,609739,WASHINGTON HS,Network 17,367,95.1%,0.0%,4.9%,349,0,18,2,3,159,134,25,0,0,13,0,2,11,0
District,2022,609740,WELLS HS,Network 15,68,100.0%,0.0%,0.0%,68,0,0,1,0,25,14,20,0,0,4,0,0,4,0
District,2022,609741,HUBBARD HS,Network 16,410,98.8%,0.0%,1.2%,405,0,5,0,4,207,130,59,0,0,0,4,1,0,0
District,2022,609746,KENWOOD HS,Network 17,420,97.1%,0.0%,2.9%,408,0,12,0,7,49,325,17,3,0,2,1,3,1,0
District,2022,609748,YORK HS,Network 16,34,0.0%,38.2%,61.8%,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0
District,2022,609749,NORTHSIDE PREP HS,Network 14,273,100.0%,0.0%,0.0%,273,0,0,0,0,14,246,2,0,0,0,1,1,9,0
District,2022,609750,SIMPSON HS,Network 15,14,100.0%,0.0%,0.0%,14,0,0,0,1,11,2,0,0,0,0,0,0,0,0
District,2022,609751,KING HS,Network 17,141,84.4%,0.7%,14.9%,119,1,21,0,1,30,80,6,1,0,0,0,0,1,0
District,2022,609753,CHICAGO AGRICULTURE HS,ISP,194,96.9%,0.0%,3.1%,188,0,6,1,6,39,97,7,1,1,0,4,19,13,0
District,2022,609754,CHICAGO MILITARY HS,Network 17,55,94.5%,0.0%,5.5%,52,0,3,1,5,14,26,4,0,0,0,2,0,0,0
District,2022,609755,YOUNG HS,ISP,518,93.6%,0.2%,6.2%,485,1,32,0,1,26,440,8,1,3,3,2,0,1,0
District,2022,609756,CURIE HS,Network 15,617,97.7%,0.2%,2.1%,603,1,13,1,13,265,221,82,2,0,6,6,1,5,1
District,2022,609759,CLEMENTE HS,Network 15,146,89.7%,0.0%,10.3%,131,0,15,0,5,51,50,19,0,1,0,2,2,1,0
District,2022,609760,CARVER MILITARY HS,Network 17,106,97.2%,0.0%,2.8%,103,0,3,0,11,34,43,4,1,0,0,10,0,0,0
District,2022,609761,CORLISS HS,Network 17,60,93.3%,0.0%,6.7%,56,0,4,0,1,23,26,5,0,0,0,0,0,0,1
District,2022,609762,JULIAN HS,Network 16,87,93.1%,0.0%,6.9%,81,0,6,0,0,21,34,23,0,0,3,0,0,0,0
District,2022,609764,JUAREZ HS,Network 15,397,99.2%,0.0%,0.8%,394,0,3,1,7,77,275,7,1,0,0,3,5,18,0
District,2022,609780,MARINE LEADERSHIP AT AMES HS,Network 14,117,99.1%,0.9%,0.0%,116,1,0,0,8,39,56,12,0,0,0,1,0,0,0
District,2022,609783,JEFFERSON HS,Network 16,11,54.5%,0.0%,45.5%,6,0,5,0,0,0,0,6,0,0,0,0,0,0,0
District,2022,610244,CLARK HS,ISP,101,85.1%,0.0%,14.9%,86,0,15,1,5,20,46,10,3,0,1,0,0,0,0
District,2022,610304,PHOENIX MILITARY HS,ISP,120,99.2%,0.8%,0.0%,119,1,0,0,4,41,52,10,0,0,0,11,1,0,0
District,2022,610323,BOWEN HS,Network 17,51,98.0%,2.0%,0.0%,50,1,0,0,2,16,18,4,0,0,0,0,1,5,4
District,2022,610334,RABY HS,Network 15,55,94.5%,0.0%,5.5%,52,0,3,0,0,7,28,3,0,0,0,0,9,5,0
District,2022,610340,CHICAGO ACADEMY HS,AUSL,138,100.0%,0.0%,0.0%,138,0,0,0,2,48,82,6,0,0,0,0,0,0,0
District,2022,610357,SPRY HS,Network 16,26,88.5%,0.0%,11.5%,23,0,3,0,0,13,3,4,0,0,2,0,0,1,0
District,2022,610380,WILLIAMS HS,Network 17,17,100.0%,0.0%,0.0%,17,0,0,0,0,7,9,1,0,0,0,0,0,0,0
District,2022,610381,BRONZEVILLE HS,Network 17,17,100.0%,0.0%,0.0%,17,0,0,0,0,0,12,0,0,0,0,0,4,1,0
District,2022,610383,SOCIAL JUSTICE HS,Network 15,85,100.0%,0.0%,0.0%,85,0,0,0,4,39,25,9,0,0,0,0,0,8,0
District,2022,610384,INFINITY HS,ISP,84,100.0%,0.0%,0.0%,84,0,0,4,4,26,28,21,0,0,0,0,1,0,0
District,2022,610385,MULTICULTURAL ARTS HIGH SCHOOL,Network 15,47,95.7%,0.0%,4.3%,45,0,2,0,1,32,2,5,0,0,0,0,0,5,0
District,2022,610386,PEACE AND EDUCATION HS,ISP,39,92.3%,0.0%,7.7%,36,0,3,0,5,19,6,6,0,0,0,0,0,0,0
District,2022,610389,ORR HS,AUSL,59,96.6%,0.0%,3.4%,57,0,2,0,3,26,14,12,0,2,0,0,0,0,0
District,2022,610390,RICKOVER MILITARY HS,ISP,83,91.6%,0.0%,8.4%,76,0,7,1,2,20,46,4,0,0,0,3,0,0,0
District,2022,610391,LINDBLOM HS,Network 16,238,95.8%,0.0%,4.2%,228,0,10,3,3,32,180,6,0,0,0,3,0,1,0
District,2022,610392,WORLD LANGUAGE HS,Network 15,67,100.0%,0.0%,0.0%,67,0,0,0,0,46,16,2,0,0,1,0,0,2,0
District,2022,610394,UPLIFT HS,Network 14,34,100.0%,0.0%,0.0%,34,0,0,0,1,3,5,0,0,0,0,0,5,20,0
District,2022,610402,DEVRY HS,Network 14,77,100.0%,0.0%,0.0%,77,0,0,0,2,6,60,8,0,0,0,1,0,0,0
District,2022,610499,COLLINS HS,AUSL,27,100.0%,0.0%,0.0%,27,0,0,0,4,7,8,6,0,2,0,0,0,0,0
District,2022,610513,AIR FORCE HS,Network 16,50,100.0%,0.0%,0.0%,50,0,0,0,4,16,18,6,0,0,0,6,0,0,0
District,2022,610518,AUSTIN CCA HS,Network 15,42,100.0%,0.0%,0.0%,42,0,0,0,0,18,16,8,0,0,0,0,0,0,0
District,2022,610524,ALCOTT HS,Network 15,77,96.1%,1.3%,2.6%,74,1,2,0,1,29,40,2,0,0,0,2,0,0,0
District,2022,610529,OGDEN HS,Network 15,137,100.0%,0.0%,0.0%,137,0,0,0,3,26,97,9,0,0,1,0,1,0,0
District,2022,610543,SOLORIO HS,AUSL,303,97.7%,0.3%,2.0%,296,1,6,5,4,146,122,10,0,0,2,3,0,4,0
District,2022,610547,SOUTH SHORE INTL HS,Network 17,133,95.5%,0.0%,4.5%,127,0,6,1,1,28,82,6,0,0,0,3,6,0,0
District,2022,610558,GOODE HS,Network 16,210,98.1%,0.0%,1.9%,206,0,4,0,11,92,92,10,1,0,0,0,0,0,0
District,2022,610561,CRANE MEDICAL HS,Network 15,85,97.6%,0.0%,2.4%,83,0,2,1,1,27,52,1,1,0,0,0,0,0,0
