,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Business Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Transition Program Plan,# With Continue High School Plan,# With Specialty High School Plan
Charter,2022,400013,ASPIRA - EARLY COLLEGE HS,Charter,77,100.0%,0.0%,0.0%,77,0,0,0,1,46,27,3,0,0,0,0,0,0,0
Contract,2022,400022,CHIARTS HS,Contract,136,95.6%,0.0%,4.4%,130,0,6,1,1,23,92,12,0,0,0,1,0,0,0
Charter,2022,400032,CICS - ELLISON HS,Charter,42,100.0%,0.0%,0.0%,42,0,0,1,0,13,22,5,0,0,0,1,0,0,0
Charter,2022,400033,CICS - LONGWOOD,Charter,87,80.5%,0.0%,19.5%,70,0,17,0,5,9,44,4,3,0,2,3,0,0,0
Charter,2022,400034,CICS - NORTHTOWN HS,Charter,222,95.5%,0.0%,4.5%,212,0,10,1,5,66,118,15,1,0,5,1,0,0,0
Charter,2022,400035,CHICAGO MATH & SCIENCE HS,Charter,82,100.0%,0.0%,0.0%,82,0,0,0,4,27,46,2,0,1,0,1,0,1,0
Charter,2022,400051,NOBLE - NOBLE HS,Charter,158,97.5%,0.0%,2.5%,154,0,4,0,5,24,120,0,0,0,0,3,1,0,1
Charter,2022,400052,NOBLE - COMER,Charter,192,98.4%,0.0%,1.6%,189,0,3,3,11,18,137,12,2,0,2,1,1,0,2
Charter,2022,400053,NOBLE - GOLDER HS,Charter,162,98.1%,0.0%,1.9%,159,0,3,2,2,36,103,15,0,0,0,1,0,0,0
Charter,2022,400054,NOBLE - PRITZKER HS,Charter,218,97.7%,0.0%,2.3%,213,0,5,1,5,35,154,10,0,0,3,0,0,1,4
Charter,2022,400055,NOBLE - RAUNER HS,Charter,131,99.2%,0.0%,0.8%,130,0,1,0,5,13,100,8,0,0,1,0,1,0,2
Charter,2022,400056,NOBLE - ROWE CLARK HS,Charter,98,99.0%,0.0%,1.0%,97,0,1,0,0,9,71,14,0,0,2,0,0,1,0
Charter,2022,400057,NOBLE - UIC HS,Charter,239,95.4%,0.0%,4.6%,228,0,11,1,6,51,149,9,0,0,6,3,0,3,0
Charter,2022,400058,NLCP - CHRISTIANA HS,Charter,80,6.3%,0.0%,93.8%,5,0,75,0,0,0,5,0,0,0,0,0,0,0,0
Charter,2022,400059,NLCP - COLLINS HS,Charter,101,1.0%,0.0%,99.0%,1,0,100,0,0,0,0,1,0,0,0,0,0,0,0
Charter,2022,400061,PERSPECTIVES - LEADERSHIP HS,Charter,75,94.7%,0.0%,5.3%,71,0,4,0,8,18,36,6,0,0,0,1,2,0,0
Charter,2022,400062,PERSPECTIVES - TECH HS,Charter,68,100.0%,0.0%,0.0%,68,0,0,0,5,16,41,4,0,0,0,2,0,0,0
Charter,2022,400064,PERSPECTIVES - JOSLIN HS,Charter,67,86.6%,0.0%,13.4%,58,0,9,0,4,12,42,0,0,0,0,0,0,0,0
Charter,2022,400066,PERSPECTIVES - MATH & SCI HS,Charter,104,29.8%,0.0%,70.2%,31,0,73,1,0,4,25,0,0,0,0,0,0,1,0
Charter,2022,400077,U OF C - WOODLAWN HS,Charter,93,97.8%,0.0%,2.2%,91,0,2,1,1,15,73,1,0,0,0,0,0,0,0
Charter,2022,400085,ACERO - GARCIA HS,Charter,142,95.8%,0.0%,4.2%,136,0,6,0,9,78,46,0,0,0,1,1,1,0,0
Charter,2022,400086,URBAN PREP - ENGLEWOOD HS,Charter,56,96.4%,0.0%,3.6%,54,0,2,0,1,2,48,3,0,0,0,0,0,0,0
Contract,2022,400091,CHICAGO TECH HS,Contract,90,98.9%,0.0%,1.1%,89,0,1,1,1,24,50,6,3,3,1,0,0,0,0
Charter,2022,400094,EPIC HS,Charter,129,82.2%,0.0%,17.8%,106,0,23,0,0,71,32,2,0,1,0,0,0,0,0
Charter,2022,400097,NOBLE - BULLS HS,Charter,242,98.3%,0.0%,1.7%,238,0,4,1,11,31,181,9,0,0,2,2,1,0,0
Charter,2022,400098,NOBLE - MUCHIN HS,Charter,254,94.1%,0.0%,5.9%,239,0,15,1,2,25,197,7,0,0,0,4,0,3,0
Charter,2022,400104,INSTITUTO - HEALTH,Charter,165,0.0%,0.0%,100.0%,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
Charter,2022,400105,URBAN PREP - BRONZEVILLE HS,Charter,82,95.1%,0.0%,4.9%,78,0,4,0,0,1,77,0,0,0,0,0,0,0,0
Charter,2022,400106,NOBLE - JOHNSON HS,Charter,151,79.5%,0.0%,20.5%,120,0,31,0,1,16,96,0,0,0,0,1,0,6,0
Charter,2022,400117,NOBLE - HANSBERRY HS,Charter,119,67.2%,0.0%,32.8%,80,0,39,0,0,9,63,3,0,0,0,1,0,3,1
Charter,2022,400118,NOBLE - DRW HS,Charter,74,97.3%,0.0%,2.7%,72,0,2,0,0,24,40,0,0,0,0,1,0,7,0
Charter,2022,400119,LEGAL PREP HS,Charter,54,75.9%,0.0%,24.1%,41,0,13,0,3,9,29,0,0,0,0,0,0,0,0
Charter,2022,400121,ACERO - DE LA CRUZ,Charter,26,96.2%,0.0%,3.8%,25,0,1,0,0,12,7,6,0,0,0,0,0,0,0
Charter,2022,400123,YCCS - SCHOLASTIC ACHIEVEMENT,Options,35,88.6%,0.0%,11.4%,31,0,4,0,2,3,1,21,0,0,4,0,0,0,0
Charter,2022,400124,YCCS - MCKINLEY,Options,52,92.3%,0.0%,7.7%,48,0,4,0,2,41,2,3,0,0,0,0,0,0,0
Charter,2022,400125,YCCS - ASPIRA PANTOJA,Options,96,92.7%,0.0%,7.3%,89,0,7,0,0,66,5,18,0,0,0,0,0,0,0
Charter,2022,400126,YCCS - ASSOCIATION HOUSE,Options,41,46.3%,0.0%,53.7%,19,0,22,0,1,10,2,6,0,0,0,0,0,0,0
Charter,2022,400127,YCCS - AUSTIN CAREER,Options,44,100.0%,0.0%,0.0%,44,0,0,0,4,25,4,10,0,0,1,0,0,0,0
Charter,2022,400128,YCCS - CCA ACADEMY,Options,51,90.2%,0.0%,9.8%,46,0,5,0,4,32,3,7,0,0,0,0,0,0,0
Charter,2022,400129,YCCS - PROGRESSIVE LEADERSHIP,Options,100,71.0%,0.0%,29.0%,71,0,29,0,5,42,6,14,2,0,0,1,0,1,0
Charter,2022,400130,YCCS - YOUTH DEVELOPMENT,Options,40,75.0%,0.0%,25.0%,30,0,10,0,3,6,2,14,5,0,0,0,0,0,0
Charter,2022,400131,YCCS - CAMPOS,Options,66,97.0%,0.0%,3.0%,64,0,2,0,0,45,3,14,0,0,1,0,0,1,0
Charter,2022,400133,YCCS - INNOVATIONS,Options,160,80.6%,0.0%,19.4%,129,0,31,0,12,57,34,20,0,1,2,2,0,1,0
Charter,2022,400134,YCCS - ADDAMS,Options,88,98.9%,0.0%,1.1%,87,0,1,0,2,79,4,2,0,0,0,0,0,0,0
Charter,2022,400135,YCCS - LATINO YOUTH,Options,70,87.1%,0.0%,12.9%,61,0,9,0,2,40,2,13,0,0,2,2,0,0,0
Charter,2022,400136,YCCS - OLIVE HARVEY,Options,34,47.1%,0.0%,52.9%,16,0,18,0,0,13,3,0,0,0,0,0,0,0,0
Contract,2022,400137,LITTLE BLACK PEARL HS,Options,26,92.3%,0.0%,7.7%,24,0,2,1,0,7,10,5,0,1,0,0,0,0,0
Charter,2022,400139,YCCS - SULLIVAN,Options,44,81.8%,0.0%,18.2%,36,0,8,0,0,33,0,2,0,0,1,0,0,0,0
Charter,2022,400141,YCCS - TRUMAN,Options,107,83.2%,0.0%,16.8%,89,0,18,0,4,36,1,35,0,0,10,1,0,2,0
Charter,2022,400143,YCCS - WEST TOWN,Options,55,98.2%,0.0%,1.8%,54,0,1,0,0,10,1,43,0,0,0,0,0,0,0
Charter,2022,400144,YCCS - WEST,Options,38,68.4%,0.0%,31.6%,26,0,12,0,1,7,0,18,0,0,0,0,0,0,0
Charter,2022,400145,YCCS - YOUTH CONNECTION,Options,44,88.6%,0.0%,11.4%,39,0,5,0,0,32,2,5,0,0,0,0,0,0,0
Contract,2022,400147,CHICAGO EXCEL HS,Options,63,79.4%,0.0%,20.6%,50,0,13,0,2,6,13,16,0,0,1,4,0,8,0
Charter,2022,400149,ACERO - SOTO HS,Charter,117,99.1%,0.0%,0.9%,116,0,1,2,13,46,44,5,0,0,1,0,4,1,0
Charter,2022,400150,YCCS - CHATHAM,Options,43,81.4%,0.0%,18.6%,35,0,8,0,0,35,0,0,0,0,0,0,0,0,0
Charter,2022,400156,NOBLE - BUTLER HS,Charter,162,69.8%,0.0%,30.2%,113,0,49,0,1,12,82,9,0,0,4,0,0,5,0
Charter,2022,400157,NOBLE - BAKER HS,Charter,43,69.8%,0.0%,30.2%,30,0,13,0,0,7,22,0,0,0,0,0,0,0,1
Charter,2022,400161,CHICAGO COLLEGIATE,Charter,28,0.0%,0.0%,100.0%,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
Charter,2022,400162,INTRINSIC HS,Charter,163,98.2%,0.0%,1.8%,160,0,3,5,0,50,90,12,0,0,0,3,0,0,0
Charter,2022,400164,INSTITUTO - JUSTICE HS,Options,43,9.3%,0.0%,90.7%,4,0,39,0,0,0,1,3,0,0,0,0,0,0,0
Charter,2022,400167,HORIZON - SOUTHWEST,Charter,19,94.7%,0.0%,5.3%,18,0,1,0,0,10,8,0,0,0,0,0,0,0,0
Charter,2022,400169,NOBLE - ITW SPEER HS,Charter,282,85.5%,0.0%,14.5%,241,0,41,1,2,64,160,11,2,1,0,0,0,0,0
Charter,2022,400170,NOBLE - ACADEMY HS,Charter,120,99.2%,0.0%,0.8%,119,0,1,4,0,13,93,6,0,0,1,1,1,0,0
Charter,2022,400172,ASPIRA - BUSINESS & FINANCE HS,Charter,146,91.1%,0.0%,8.9%,133,0,13,0,10,40,71,11,0,1,0,0,0,0,0
ALOP,2022,400173,PATHWAYS - BRIGHTON PARK HS,Options,124,96.0%,0.0%,4.0%,119,0,5,0,7,56,11,39,0,0,1,2,0,3,0
Contract,2022,400175,EXCEL SOUTH SHORE HS,Options,54,74.1%,0.0%,25.9%,40,0,14,0,0,29,5,4,0,0,0,0,0,2,0
Contract,2022,400176,EXCEL SOUTHWEST HS,Options,27,96.3%,0.0%,3.7%,26,0,1,0,1,24,1,0,0,0,0,0,0,0,0
Charter,2022,400179,NOBLE - MANSUETO HS,Charter,287,99.7%,0.0%,0.3%,286,0,1,2,22,54,181,18,2,0,4,0,1,1,1
Charter,2022,400182,CATALYST - MARIA (HS),Charter,141,0.0%,0.0%,100.0%,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0
ALOP,2022,610557,PATHWAYS - ASHBURN HS,Options,77,98.7%,0.0%,1.3%,76,0,1,0,6,38,9,19,2,0,0,2,0,0,0
Contract,2022,610565,EXCEL ENGLEWOOD HS,Options,44,84.1%,0.0%,15.9%,37,0,7,0,6,4,3,21,0,0,3,0,0,0,0
ALOP,2022,610568,PATHWAYS - AVONDALE HS,Options,82,98.8%,0.0%,1.2%,81,0,1,1,5,32,16,22,0,0,1,2,0,2,0
ALOP,2022,610569,OMBUDSMAN - NORTHWEST HS,Options,98,98.0%,0.0%,2.0%,96,0,2,0,3,48,4,40,1,0,0,0,0,0,0
ALOP,2022,610570,OMBUDSMAN - SOUTH HS,Options,120,80.0%,0.8%,19.2%,96,1,23,0,12,17,10,52,3,0,1,0,0,1,0
ALOP,2022,610571,OMBUDSMAN - WEST HS,Options,53,83.0%,3.8%,13.2%,44,2,7,0,5,20,6,10,0,0,0,0,0,3,0
ALOP,2022,610593,OMBUDSMAN - ROSELAND HS,Options,41,78.0%,2.4%,19.5%,32,1,8,0,1,6,4,20,0,0,0,1,0,0,0
ALOP,2022,610594,PATHWAYS - HUMBOLDT PARK HS,Options,36,83.3%,0.0%,16.7%,30,0,6,0,4,9,4,12,0,0,0,0,0,1,0
