year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,teachers_fte_crdc,teachers_uncertified_fte,support_fte,counselors_fte,social_workers_fte,psychologists_fte,law_enforcement_fte,security_guard_fte,salaries_teachers,salaries_instructional_aides,salaries_support,salaries_administration
mixed - most recent,1.73E+11,21st Century Primary Center,IL,Park Forest SD 163,Primary,Regular school,No,15,0,2,0,1,1,0,0,936374,115623.711,189427.453,153806
mixed - most recent,1.71E+11,7th Grade Academy,IL,Cahokia CUSD 187,Middle,Regular school,No,13,0,2,0,1,1,0,1.1,779265,95717.453,103010,97362.539
mixed - most recent,1.71E+11,8th Grade Academy,IL,Cahokia CUSD 187,Middle,Regular school,No,14,0,1,0,1,1,0,1.1,757215,62336,16577.48,168530.5
mixed - most recent,1.71E+11,A B Shepard High Sch (Campus),IL,CHSD 218,High,Regular school,No,117,0,17.8,7,3,3,2,9.5,12180154,900877.625,1706405,923402.062
mixed - most recent,1.70E+11,A E R O Educational Center,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,45,0,44.6,0,3,0,0,0,1355689,1000286,2884924,1633329
mixed - most recent,1.73E+11,A F Ames Elem School,IL,Riverside SD 96,Primary,Regular school,No,29,0,2.8,0,1,0.5,0,0,1965671,219061,201054,118690
mixed - most recent,1.70E+11,A J Katzenmaier Academy,IL,North Chicago SD 187,Primary,Regular school,No,38,0,3,1,1,1,0,0,1786196,159189,82231,380000
mixed - most recent,1.72E+11,A O Marshall Elem School,IL,Joliet PSD 86,Primary,Regular school,No,30,5,0,0,1,0.5,0,0,1235948,58765.32,-2,238573.516
mixed - most recent,1.74E+11,A Vito Martinez Middle School,IL,Valley View CUSD 365U,Middle,Regular school,No,53,0,4,2,1,1,0,1,2703626,30769.199,269792,672252.438
mixed - most recent,1.70E+11,A-C Central Elementary School,IL,A-C Central CUSD 262,Primary,Regular school,No,11,0,11,0,0,0,0,0,455279,113963.844,188571.562,95890.953
mixed - most recent,1.70E+11,A-C Central High School,IL,A-C Central CUSD 262,High,Regular school,No,10,0,10,1,0,0,0,0,389445,17011.1,103115.258,35000
mixed - most recent,1.70E+11,A-C Central Middle School,IL,A-C Central CUSD 262,Middle,Regular school,No,7,0,11,1,0,0,0,0,336189,37640.051,119070.297,35000
mixed - most recent,1.70E+11,A.E.R.O-Connect Prog-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O-Functional Acad Learning-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O-STAR (Autism)-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O. EC Program-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O.-Comm. Develop.-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,A.N.C.H.O.R. Academy,IL,Cook County SD 130,Middle,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,Abbott Middle School,IL,SD U-46,Middle,Regular school,No,44,4,0.81,0,2,0,1,0,2292476,17518.619,24932.68,279139.531
mixed - most recent,1.71E+11,Abe Lincoln Elem School,IL,Cicero SD 99,Primary,Regular school,No,66,0,2,0,2,1,0,0,3915489,366765.5,99033.828,472467.188
mixed - most recent,1.70E+11,Abingdon-Avon High Sch,IL,Abingdon-Avon CUSD 276,High,Regular school,No,19,0,3,1,0,0,0,0,716645,29273.859,117554.094,110574.922
