School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,School_Type
400083,5810,0,ACERO - PAZ,Acero Charter Schools - Octavio Paz Campus,Charter
609903,3200,0,EDWARDS,Richard Edwards Elementary School,Neighborhood
609941,3550,0,RANDOLPH,Asa Philip Randolph Elementary School,Magnet
610170,5860,20071,COLUMBIA EXPLORERS,Columbia Explorers Elementary Academy,Neighborhood
609772,2020,22021,ADDAMS,Jane Addams Elementary School,Neighborhood
609773,2030,22031,AGASSIZ,Louis A Agassiz Elementary School,Neighborhood
609774,2040,22041,ALCOTT ES,Louisa May Alcott College Preparatory ES,Neighborhood
610524,8035,22041,ALCOTT HS,Louisa May Alcott College Preparatory HS,Small
609777,2070,22061,ARMOUR,Phillip D Armour Elementary School,Neighborhood
610284,7060,22071,NEW FIELD,New Field Elementary School,Neighborhood
609779,2080,22081,ARMSTRONG G,George Armstrong International Studies ES,Neighborhood
609782,2110,22091,AUDUBON,John J Audubon Elementary School,Neighborhood
609786,2130,22101,AVALON PARK,Avalon Park Elementary School,Neighborhood
609788,2150,22131,BARNARD,Alice L Barnard Computer Math & Science Ctr ES,Neighborhood
609789,2160,22141,BARRY,John Barry Elementary School,Neighborhood
609790,2170,22151,BARTON,Clara Barton Elementary School,Neighborhood
609791,2180,22161,BASS,Perkins Bass Elementary School,Neighborhood
609792,2190,22171,BATEMAN,Newton Bateman Elementary School,Neighborhood
609793,2200,22181,NICHOLSON,Lillian R. Nicholson STEM Academy,Neighborhood
609795,2230,22191,CLARK ES,George Rogers Clark Elementary School,Neighborhood
609796,2240,22201,BEAUBIEN,Jean Baptiste Beaubien Elementary School,Regional gifted center
609797,2250,22211,BEIDLER,Jacob Beidler Elementary School,Neighborhood
609798,2260,22221,BELDING,Hiram H Belding Elementary School,Neighborhood
609799,2270,22231,BELL,Alexander Graham Bell Elementary School,Regional gifted center
609800,2280,22241,BENNETT,Frank I Bennett Elementary School,Neighborhood
610530,2015,22251,SOUTH SHORE ES,South Shore Fine Arts Academy,Small
609803,2300,22261,BLAINE,James G Blaine Elementary School,Neighborhood
609804,2320,22271,BOONE,Daniel Boone Elementary School,Neighborhood
609805,2330,22281,JOPLIN,Scott Joplin Elementary School,Neighborhood
609806,2340,22291,BRADWELL,Myra Bradwell Communications Arts & Sciences ES,Neighborhood
609808,2360,22301,HALEY,Alex Haley Elementary Academy,Neighborhood
609809,2370,22311,BRENTANO,Lorenz Brentano Math & Science Academy ES,Neighborhood
609810,2380,22321,BRIDGE,Norman A Bridge Elementary School,Neighborhood
609811,2390,22331,BRIGHT,Orville T Bright Elementary School,Neighborhood
610541,8330,22341,LORCA,Federico Garcia Lorca Elementary School,Neighborhood
609812,2400,22351,BROWN W,William H Brown Elementary School,Neighborhood
609813,2410,22361,BROWNELL,Charles S Brownell Elementary School,Neighborhood
609815,2430,22371,BOUCHET,Edward A Bouchet Math & Science Academy ES,Neighborhood
610542,8440,22381,WEST RIDGE,West Ridge Elementary School,Neighborhood
609817,2440,22391,BUDLONG,Lyman A Budlong Elementary School,Neighborhood
609818,2450,22401,BURBANK,Luther Burbank Elementary School,Neighborhood
609819,2460,22411,BURKE,Edmond Burke Elementary School,Neighborhood
609820,2470,22421,BURLEY,Augustus H Burley Elementary School,Neighborhood
609821,2480,22431,BURNHAM,Burnham Elementary Inclusive Academy,Neighborhood
610532,8021,22441,HERNANDEZ,Irene C. Hernandez Middle School for the Advancement of Science,Neighborhood
610368,8060,22451,HUGHES L,Langston Hughes Elementary School,Neighborhood
609826,2510,22461,CASTELLANOS,Rosario Castellanos Elementary School,Neighborhood
609828,2530,22471,BURR,Jonathan Burr Elementary School,Neighborhood
609829,2540,22481,BURROUGHS,John C Burroughs Elementary School,Neighborhood
609830,2550,22491,BRUNSON,Milton Brunson Math & Science Specialty ES,Neighborhood
609832,2570,22501,BYRNE,Michael M Byrne Elementary School,Neighborhood
